"","SITE_ID","ECO_TYPE","LAT","LON"
"221","CBP_WQX-DER0015","Channelized Stream",39.62348,-76.16477
"222","CBP_WQX-XGG6667","River/Stream",38.9428,-76.2216
"223","CBP_WQX-XGE5984","River/Stream",38.93147,-76.5268
"224","CBP_WQX-ANT0203","River/Stream",39.59463,-77.71079
"225","CBP_WQX-ANT0366","Channelized Stream",39.71599,-77.60822
"226","CBP_WQX-POT1471","River/Stream",39.15442,-77.52125
"227","CBP_WQX-JON0184","River/Stream",39.40871,-76.74277
"228","CBP_WQX-POT2766","River/Stream",39.53865,-78.45449
"229","CBP_WQX-POT1596","River/Stream",39.27208,-77.5479
"230","CBP_WQX-XEG4991","River/Stream",38.58217,-76.18211
"231","CBP_WQX-MON0528","River/Stream",39.67917,-77.23489
"232","CBP_WQX-WIL0013","Channelized Stream",39.66185,-78.78029
"233","CBP_WQX-MON0155","River/Stream",39.38778,-77.3811
"234","CBP_WQX-ANT0047","Channelized Stream",39.45037,-77.73165
"235","CBP_WQX-XHH5046","River/Stream",39.08323,-76.10732
"236","CBP_WQX-ANT0044","River/Stream",39.45037,-77.73165
"237","CBP_WQX-CAC0031","River/Stream",39.33178,-77.58018
"238","CBP_WQX-GEO0009","Channelized Stream",39.49364,-79.0447
"239","CBP_WQX-XBF6734","River/Stream",38.11183,-76.44334
"240","CBP_WQX-NBP0103","River/Stream",39.58268,-78.73145
"241","CBP_WQX-SEN0008","River/Stream",39.07958,-77.33964
"242","CBP_WQX-BPC0035","River/Stream",39.61218,-77.2382
"243","CBP_WQX-RCM0111","River/Stream",38.99302,-77.06303
"244","CBP_WQX-CAC0148","Channelized Stream",39.42578,-77.559
"245","CBP_WQX-TUK0181","Channelized Stream",38.96713,-75.94312
"246","CBP_WQX-CB1.0","River/Stream",39.65622,-76.17504
"247","CBP_WQX-NBP0023","River/Stream",39.57447,-78.61537
"248","CBP_WQX-POT1184","River/Stream",38.94821,-77.12734
"249","CBP_WQX-POT2386","River/Stream",39.69742,-78.1763
"250","CBP_WQX-GUN0258","Channelized Stream",39.55064,-76.63586
"251","CBP_WQX-PAT0176","River/Stream",39.21781,-76.70534
"252","CBP_WQX-XEG0138","River/Stream",38.5023,-76.2708
"253","CBP_WQX-GUN0125","River/Stream",39.42562,-76.52889
"254","CBP_WQX-PAT0285","River/Stream",39.31245,-76.79224
"255","CBP_WQX-1APOM002.41","River/Stream",38.3475,-77.3275
"256","CBP_WQX-PXT0809","River/Stream",39.1168,-76.87493
"257","CBP_WQX-PXT0972","Channelized Stream",39.23931,-77.05619
"258","CBP_WQX-XGG8251","River/Stream",38.97113,-76.24734
"259","CBP_WQX-GUN0476","River/Stream",39.68936,-76.78047
"260","CBP_WQX-NBP0534","River/Stream",39.47922,-79.06802
"261","CBP_WQX-CON0180","Channelized Stream",39.71605,-77.82505
"262","CBP_WQX-NBP0461","River/Stream",39.44491,-78.97175
"263","CBP_WQX-NBP0326","River/Stream",39.56677,-78.83891
"264","CBP_WQX-TOW0030","Channelized Stream",39.55304,-78.55339
"265","CBP_WQX-ET5.0","River/Stream",38.99719,-75.78644
"266","CBP_WQX-POT1830","River/Stream",39.43508,-77.80266
"267","CBP_WQX-1AAUA003.71","River/Stream",38.42305,-77.35528
"268","CBP_WQX-XFG3973","River/Stream",38.7323,-76.2125
"269","CBP_WQX-XCE2643","River/Stream",38.2092,-76.596
"270","CBP_WQX-XCD5599","River/Stream",38.259,-76.6713
"271","CBP_WQX-TUK0022","River/Stream",38.8312,-75.9143
"272","CBP_WQX-XFG4620","River/Stream",38.7433,-76.2999
"273","CBP_WQX-XCI3696","River/Stream",38.2261,-75.8395
"274","CBP_WQX-XHH4931","River/Stream",39.0812,-76.1149
"275","CBP_WQX-WIW0198","River/Stream",38.3519,-75.6198
"276","CBP_WQX-XEH5622","River/Stream",38.5935,-76.1288
"277","CBP_WQX-1AOCC002.47","River/Stream",38.64028,-77.22222
"278","CBP_WQX-XCD6674","River/Stream",38.276,-76.7095
"279","CBP_WQX-XEG8519","River/Stream",38.6414,-76.3023
"280","CBP_WQX-XHH4916","River/Stream",39.0818,-76.1392
"281","CBP_WQX-XHH4742","River/Stream",39.07807,-76.0972
"282","CBP_WQX-XCE1407","River/Stream",38.1894,-76.6556
"283","CBP_WQX-XBF6903","River/Stream",37.9483,-76.3283
"284","CBP_WQX-XBE9300","River/Stream",38.1543,-76.6659
"285","CBP_WQX-XCD3765","River/Stream",38.2272,-76.7247
"286","CBP_WQX-XDB4877","River/Stream",38.4142,-77.0391
"287","CBP_WQX-XFG0809","River/Stream",38.6797,-76.3173
"288","CBP_WQX-XDC3807","River/Stream",38.396,-76.9891
