"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT","TROPHIC_STATE"
"26933",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","CHLORIDE",3.74,"mgl","Eutrophic"
"26934",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","SP_COND",39,"uS/cm","Eutrophic"
"26935",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","DO",12.6,"mgl","Eutrophic"
"26936",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","MAGNESIUM",1.27,"mgl","Eutrophic"
"26937",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","pH",6.53,NA,"Eutrophic"
"26938",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","SULFATE",5.16,"mgl","Eutrophic"
"26939",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","TEMP",5.39,"degc","Eutrophic"
"26940",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","CALCIUM",2.56,"mgl",NA
"26941",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","CHLORIDE",2.38,"mgl",NA
"26942",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","SP_COND",36,"uS/cm",NA
"26943",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","DO",8.83,"mgl",NA
"26944",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","MAGNESIUM",1.31,"mgl",NA
"26945",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","pH",6.51,NA,NA
"26946",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","SULFATE",3.38,"mgl",NA
"26947",34.09972,-94.38028,"LAGOS_405744","Lake","2014-11-17","TEMP",13.6,"degc",NA
"26948",38.26722,-104.73164,"LAGOS_376378","Lake","2015-06-17","SP_COND",397,"uS/cm",NA
"26949",38.26722,-104.73164,"LAGOS_376378","Lake","2015-06-17","DO",8.9,"mgl",NA
"26950",38.26722,-104.73164,"LAGOS_376378","Lake","2015-06-17","pH",8.7,NA,NA
"26951",38.26722,-104.73164,"LAGOS_376378","Lake","2015-06-17","TEMP",22.4,"degc",NA
"26952",33.31843,-85.58105,"LAGOS_237212","Lake","2013-07-31","CHLORIDE",2.4,"mgl","Mesotrophic"
"26953",37.72612,-97.79422,"LAGOS_376907","Lake","2013-12-12","SP_COND",831,"uS/cm",NA
"26954",37.72612,-97.79422,"LAGOS_376907","Lake","2013-12-12","TEMP",0.3,"degc",NA
"26955",33.94954,-87.11081,"LAGOS_247445","Lake","2011-08-16","CALCIUM",3.82,"mgl",NA
"26956",33.94954,-87.11081,"LAGOS_247445","Lake","2011-08-16","CHLORIDE",4.86,"mgl",NA
"26957",33.45945,-86.66727,"LAGOS_239134","Lake","2011-09-21","CHLORIDE",14.8,"mgl",NA
"26958",47.09306,-98.01889,"LAGOS_315375","Lake","2000-08-10","CALCIUM",61.5,"mgl",NA
"26959",47.09306,-98.01889,"LAGOS_315375","Lake","2000-08-10","CHLORIDE",12.7,"mgl",NA
"26960",47.09306,-98.01889,"LAGOS_315375","Lake","2000-08-10","SP_COND",966,"uS/cm",NA
"26961",47.09306,-98.01889,"LAGOS_315375","Lake","2000-08-10","MAGNESIUM",40.8,"mgl",NA
"26962",47.09306,-98.01889,"LAGOS_315375","Lake","2000-08-10","pH",8.45,NA,NA
"26963",47.09306,-98.01889,"LAGOS_315375","Lake","2000-08-10","SULFATE",200,"mgl",NA
"26964",48.0936,-113.6938,"LAGOS_459072","Lake","2008-06-17","SP_COND",132,"uS/cm",NA
"26965",48.0936,-113.6938,"LAGOS_459072","Lake","2008-06-17","DO",10.39,"mgl",NA
"26966",48.0936,-113.6938,"LAGOS_459072","Lake","2008-06-17","pH",8.09,NA,NA
"26967",48.0936,-113.6938,"LAGOS_459072","Lake","2008-06-17","TEMP",11.96,"degc",NA
"26968",38.59432,-75.29099,"LAGOS_142130","Lake","2012-07-30","SP_COND",146,"uS/cm",NA
"26969",38.59432,-75.29099,"LAGOS_142130","Lake","2012-07-30","DO",8.01,"mgl",NA
"26970",38.59432,-75.29099,"LAGOS_142130","Lake","2012-07-30","pH",8.49,NA,NA
"26971",38.59432,-75.29099,"LAGOS_142130","Lake","2012-07-30","TEMP",29.53,"degc",NA
"26972",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","CALCIUM",5.02,"mgl",NA
"26973",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","CHLORIDE",5.67,"mgl",NA
"26974",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","SP_COND",70,"uS/cm",NA
"26975",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","DO",10,"mgl",NA
"26976",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","MAGNESIUM",2.12,"mgl",NA
"26977",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","pH",7.3,NA,NA
"26978",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","SULFATE",3.88,"mgl",NA
"26979",36.115,-78.86917,"LAGOS_152959","Lake","2014-05-02","TEMP",18.3,"degc",NA
"26980",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","CALCIUM",6.61,"mgl",NA
"26981",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","CHLORIDE",6.91,"mgl",NA
"26982",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","SP_COND",95,"uS/cm",NA
"26983",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","DO",5.4,"mgl",NA
"26984",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","MAGNESIUM",2.69,"mgl",NA
"26985",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","pH",6.8,NA,NA
"26986",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","SULFATE",6.67,"mgl",NA
"26987",36.115,-78.86917,"LAGOS_152959","Lake","2002-06-19","TEMP",25.2,"degc",NA
"26988",37.72612,-97.79422,"LAGOS_376907","Lake","2015-06-09","SP_COND",953,"uS/cm",NA
"26989",37.72612,-97.79422,"LAGOS_376907","Lake","2015-06-09","TEMP",25,"degc",NA
"26990",47.09306,-98.01889,"LAGOS_315375","Lake","2015-07-09","CALCIUM",77.7,"mgl",NA
"26991",47.09306,-98.01889,"LAGOS_315375","Lake","2015-07-09","CHLORIDE",43.1,"mgl",NA
"26992",47.09306,-98.01889,"LAGOS_315375","Lake","2015-07-09","SP_COND",1460,"uS/cm",NA
"26993",47.09306,-98.01889,"LAGOS_315375","Lake","2015-07-09","MAGNESIUM",62.8,"mgl",NA
"26994",47.09306,-98.01889,"LAGOS_315375","Lake","2015-07-09","pH",8.61,NA,NA
"26995",47.09306,-98.01889,"LAGOS_315375","Lake","2015-07-09","SULFATE",392,"mgl",NA
"26996",32.89492,-87.78727,"LAGOS_248118","Lake","2011-09-20","CHLORIDE",11.49,"mgl","Eutrophic"
"26997",37.72612,-97.79422,"LAGOS_376907","Lake","2011-01-18","SP_COND",752,"uS/cm",NA
"26998",37.72612,-97.79422,"LAGOS_376907","Lake","2011-01-18","TEMP",0.5,"degc",NA
"26999",37.72612,-97.79422,"LAGOS_376907","Lake","2010-10-04","SP_COND",654,"uS/cm",NA
"27000",37.72612,-97.79422,"LAGOS_376907","Lake","2010-10-04","TEMP",19.6,"degc",NA
"27001",34.20244,-85.4524,"LAGOS_237213","Lake","2015-06-24","CALCIUM",19.4,"mgl","Eutrophic"
"27002",34.20244,-85.4524,"LAGOS_237213","Lake","2015-06-24","CHLORIDE",11.6,"mgl","Eutrophic"
"27003",38.26722,-104.73164,"LAGOS_376378","Lake","2006-10-06","SP_COND",424,"uS/cm","Mesotrophic"
"27004",38.26722,-104.73164,"LAGOS_376378","Lake","2006-10-06","DO",6.2,"mgl","Mesotrophic"
"27005",38.26722,-104.73164,"LAGOS_376378","Lake","2006-10-06","pH",7.8,NA,"Mesotrophic"
"27006",38.26722,-104.73164,"LAGOS_376378","Lake","2006-10-06","TEMP",18.2,"degc","Mesotrophic"
"27007",33.26853,-87.50843,"LAGOS_244056","Lake","2005-08-17","CHLORIDE",6.34,"mgl",NA
"27008",32.87747,-85.90135,"LAGOS_241072","Lake","2013-06-25","CALCIUM",2.11,"mgl","Mesotrophic"
"27009",32.87747,-85.90135,"LAGOS_241072","Lake","2013-06-25","CHLORIDE",2.33,"mgl","Mesotrophic"
"27010",33.26406,-85.61267,"LAGOS_241075","Lake","2013-06-26","CALCIUM",2.19,"mgl","Mesotrophic"
"27011",33.26406,-85.61267,"LAGOS_241075","Lake","2013-06-26","CHLORIDE",2.21,"mgl","Mesotrophic"
"27012",37.72612,-97.79422,"LAGOS_376907","Lake","2009-07-07","SP_COND",752,"uS/cm",NA
"27013",37.72612,-97.79422,"LAGOS_376907","Lake","2009-07-07","TEMP",25.8,"degc",NA
"27014",37.72612,-97.79422,"LAGOS_376907","Lake","2006-12-12","CALCIUM",38.5,"mgl","Eutrophic"
"27015",37.72612,-97.79422,"LAGOS_376907","Lake","2006-12-12","CHLORIDE",167,"mgl","Eutrophic"
"27016",37.72612,-97.79422,"LAGOS_376907","Lake","2006-12-12","SP_COND",903,"uS/cm","Eutrophic"
"27017",37.72612,-97.79422,"LAGOS_376907","Lake","2006-12-12","MAGNESIUM",14.2,"mgl","Eutrophic"
"27018",37.72612,-97.79422,"LAGOS_376907","Lake","2006-12-12","SULFATE",42.6,"mgl","Eutrophic"
"27019",37.72612,-97.79422,"LAGOS_376907","Lake","2006-12-12","TEMP",3.9,"degc","Eutrophic"
"27020",37.72612,-97.79422,"LAGOS_376907","Lake","2010-02-10","SP_COND",825,"uS/cm",NA
"27021",37.72612,-97.79422,"LAGOS_376907","Lake","2010-02-10","TEMP",0.6,"degc",NA
"27022",37.72612,-97.79422,"LAGOS_376907","Lake","2013-08-19","SP_COND",765,"uS/cm",NA
"27023",37.72612,-97.79422,"LAGOS_376907","Lake","2013-08-19","TEMP",24.1,"degc",NA
"27024",42.43916,-122.01224,"LAGOS_473584","Lake","2004-06-01","SP_COND",109,"uS/cm",NA
"27025",42.43916,-122.01224,"LAGOS_473584","Lake","2004-06-01","DO",9.7,"mgl",NA
"27026",42.43916,-122.01224,"LAGOS_473584","Lake","2004-06-01","pH",8.6,NA,NA
"27027",42.43916,-122.01224,"LAGOS_473584","Lake","2004-06-01","TEMP",15.8,"degc",NA
"27028",39.2406,-76.86808,"LAGOS_143079","Lake","2014-04-10","SP_COND",225,"uS/cm",NA
"27029",39.2406,-76.86808,"LAGOS_143079","Lake","2014-04-10","DO",12.7,"mgl",NA
"27030",39.2406,-76.86808,"LAGOS_143079","Lake","2014-04-10","pH",7.5,NA,NA
"27031",39.2406,-76.86808,"LAGOS_143079","Lake","2014-04-10","TEMP",10.1,"degc",NA
"27032",33.25418,-87.44429,"LAGOS_244057","Lake","2007-08-22","CHLORIDE",25.68,"mgl",NA
"27033",32.62129,-86.25953,"LAGOS_236196","Lake","2013-05-21","CHLORIDE",2.45,"mgl","Eutrophic"
"27034",37.72612,-97.79422,"LAGOS_376907","Lake","2015-07-07","CALCIUM",51.4,"mgl","Eutrophic"
"27035",37.72612,-97.79422,"LAGOS_376907","Lake","2015-07-07","CHLORIDE",163,"mgl","Eutrophic"
"27036",37.72612,-97.79422,"LAGOS_376907","Lake","2015-07-07","SP_COND",928,"uS/cm","Eutrophic"
"27037",37.72612,-97.79422,"LAGOS_376907","Lake","2015-07-07","MAGNESIUM",15.4,"mgl","Eutrophic"
