"","DATE_COL","DOC","NO3","TP","DOC_UNITS","NO3_UNITS","TP_UNITS","YEAR","LAT_DD83","LON_DD83","ECO_TYPE","SITE_ID"
"114",2008-07-09,33.59,0.04078,0.05752,"mg/L","mg N/L","mg/L",2008,38.27006247,-75.27663014,"River/Stream","NLA_113"
"115",2008-07-09,11.84,0,0.1771763,"mg/L","mg N/L","mg/L",2008,46.99020188,-102.8888491,"River/Stream","NLA_114"
"116",2008-07-09,2.12,0.02555,0.018745,"mg/L","mg N/L","mg/L",2008,37.50634045,-88.53683713,"River/Stream","NLA_115"
"117",2008-07-09,3.59,0,0.0376013,"mg/L","mg N/L","mg/L",2008,37.55193806,-113.4090686,"River/Stream","NLA_116"
"118",2008-07-09,4.54,0.80007,0.1044188,"mg/L","mg N/L","mg/L",2008,39.73426795,-93.94027089,"River/Stream","NLA_117"
"119",2008-07-09,2.68,2.2192,0.210653,"mg/L","mg N/L","mg/L",2008,37.42968171,-93.24450517,"River/Stream","NLA_118"
"120",2008-07-09,5.26,0.05413,0.0763113,"mg/L","mg N/L","mg/L",2008,39.73790724,-101.8768828,"River/Stream","NLA_119"
"121",2008-07-09,2.67,0.64682,0.0271063,"mg/L","mg N/L","mg/L",2008,42.44965649,-103.2627373,"River/Stream","NLA_120"
"122",2008-07-09,1.86,0.71147,0.05562,"mg/L","mg N/L","mg/L",2008,40.48034137,-101.583417,"River/Stream","NLA_121"
"123",2008-07-09,1.13,0.00576,0.0111375,"mg/L","mg N/L","mg/L",2008,45.02324849,-114.4461665,"River/Stream","NLA_122"
"124",2008-07-09,1.97,0.0038,0.0072763,"mg/L","mg N/L","mg/L",2008,48.9560789,-119.6933195,"River/Stream","NLA_123"
"125",2008-07-10,0.93,0,0.0243888,"mg/L","mg N/L","mg/L",2008,40.394948,-116.1206756,"River/Stream","NLA_124"
"126",2008-07-10,5.32,1.94389,0.1318575,"mg/L","mg N/L","mg/L",2008,41.15722367,-86.58538781,"River/Stream","NLA_125"
"127",2008-07-10,7.44,1.84089,0.1068425,"mg/L","mg N/L","mg/L",2008,43.05631052,-85.594206,"River/Stream","NLA_126"
"128",2008-07-10,4.79,1.56395,0.074915,"mg/L","mg N/L","mg/L",2008,38.68907843,-75.76990034,"River/Stream","NLA_127"
"129",2008-07-10,8.89,0.15922,0.0487763,"mg/L","mg N/L","mg/L",2008,47.0151948,-108.1650054,"River/Stream","NLA_128"
"130",2008-07-10,2.5,0.02842,0.0095538,"mg/L","mg N/L","mg/L",2008,43.4326433,-71.65002274,"River/Stream","NLA_129"
"131",2008-07-10,7.31,0.73675,0.15696,"mg/L","mg N/L","mg/L",2008,38.59037209,-88.74802624,"River/Stream","NLA_130"
"132",2008-07-10,0.74,0.91833,0.0334175,"mg/L","mg N/L","mg/L",2008,37.31864862,-113.7168672,"River/Stream","NLA_131"
"133",2008-07-11,6.4,0,0.04554,"mg/L","mg N/L","mg/L",2008,37.36588354,-108.5932791,"River/Stream","NLA_132"
"134",2008-07-11,5.05,1.76928,0.1261775,"mg/L","mg N/L","mg/L",2008,41.17260178,-86.51700711,"River/Stream","NLA_133"
"135",2008-07-11,6.78,1.78662,0.1363238,"mg/L","mg N/L","mg/L",2008,43.02233875,-86.02397272,"River/Stream","NLA_134"
"136",2008-07-11,3.61,0.60699,0.11327,"mg/L","mg N/L","mg/L",2008,42.09049853,-71.29759953,"River/Stream","NLA_135"
"137",2008-07-11,3.17,1.71472,0.0152163,"mg/L","mg N/L","mg/L",2008,37.07694059,-113.5970254,"River/Stream","NLA_136"
"138",2008-07-11,9.12,0.00054,0.0581038,"mg/L","mg N/L","mg/L",2008,32.54805881,-93.78099558,"River/Stream","NLA_137"
"139",2008-07-11,3.26,1.00325,0.071585,"mg/L","mg N/L","mg/L",2008,40.39459662,-82.5034368,"River/Stream","NLA_138"
"140",2008-07-11,3.29,0.10085,0.0274188,"mg/L","mg N/L","mg/L",2008,38.48030586,-93.61433623,"River/Stream","NLA_139"
"141",2008-07-12,5.34,0.05359,0.0806513,"mg/L","mg N/L","mg/L",2008,32.06617568,-93.41412498,"River/Stream","NLA_140"
"142",2008-07-13,4.35,1.40977,0.1025063,"mg/L","mg N/L","mg/L",2008,40.90640874,-86.7115276,"River/Stream","NLA_141"
"143",2008-07-13,4.335810939,NA,0.24,"mg/L","mg N/L","mg/L",2008,36.53474414,-89.46723264,"River/Stream","NLA_142"
"144",2008-07-14,4.74,0.06413,0.1630613,"mg/L","mg N/L","mg/L",2008,39.98812383,-108.7779574,"River/Stream","NLA_143"
"145",2008-07-14,17.62,0,0.2481663,"mg/L","mg N/L","mg/L",2008,30.18840677,-83.60818538,"River/Stream","NLA_144"
"146",2008-07-14,2.96,0.96396,0.0448163,"mg/L","mg N/L","mg/L",2008,39.45734207,-77.79812723,"River/Stream","NLA_145"
"147",2008-07-14,0.74,0.0018,0.002305,"mg/L","mg N/L","mg/L",2008,46.5855868,-111.2657088,"River/Stream","NLA_146"
"148",2008-07-14,3.57,0.20065,0.010135,"mg/L","mg N/L","mg/L",2008,43.4303027,-72.39500794,"River/Stream","NLA_147"
"149",2008-07-14,3.790082964,NA,0.162,"mg/L","mg N/L","mg/L",2008,36.60870194,-89.3058315,"River/Stream","NLA_148"
"150",2008-07-14,6.51,0.15683,0.0686763,"mg/L","mg N/L","mg/L",2008,43.34956512,-104.2956885,"River/Stream","NLA_149"
"151",2008-07-14,6.32,0.00043,0.1916475,"mg/L","mg N/L","mg/L",2008,32.78464844,-91.95736625,"River/Stream","NLA_150"
"152",2008-07-14,1.15,0.21795,0.0086488,"mg/L","mg N/L","mg/L",2008,38.58808573,-80.89452344,"River/Stream","NLA_151"
"153",2008-07-14,7.73,0.03008,0.0870788,"mg/L","mg N/L","mg/L",2008,39.20884366,-92.53459835,"River/Stream","NLA_152"
"154",2008-07-14,5.64,1.36328,0.1062713,"mg/L","mg N/L","mg/L",2008,39.3588435,-75.67549416,"River/Stream","NLA_153"
"155",2008-07-15,1.47,0.21067,0.03669,"mg/L","mg N/L","mg/L",2008,37.78662431,-96.42997007,"River/Stream","NLA_154"
"156",2008-07-15,1,0.00363,0.0288438,"mg/L","mg N/L","mg/L",2008,41.71522014,-115.2289633,"River/Stream","NLA_155"
"157",2008-07-15,2.71,0.0953,0.002425,"mg/L","mg N/L","mg/L",2008,39.73087609,-108.6747246,"River/Stream","NLA_156"
"158",2008-07-15,3.11,7.90571,0.2459038,"mg/L","mg N/L","mg/L",2008,39.96892757,-87.47214622,"River/Stream","NLA_157"
