"","uid","domainID","siteID","namedLocation","decimalLatitude","decimalLongitude","coordinateUncertainty","additionalCoordUncertainty","elevation","elevationUncertainty","geodeticDatum","altLocation","altLatitude","altLongitude","altCoordinateUncertainty","altGeodeticDatum","collectDate","aquaticSiteType","samplingImpractical","waterChemSamplesCollected","parentSampleID","eventID","samplerType","dissolvedOxygen","dissolvedOxygenSaturation","specificConductance","waterTemp","swcSamplingProtocolVersion","lowerSegmentDepth","upperSegmentDepth","maxDepth","lakeSampleDepth1","lakeSampleDepth2","aCollectedBy","bCollectedBy","remarks","fieldDataQF"
"46","4091e826-b9f6-45d0-8e56-c65d6dbc3fd9","D13","WLOU","WLOU.AOS.S2",39.890674,-105.911293,1.7,10,2901.2,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-16T16:42Z","stream",NA,"Y","WLOU.SS.20200916","WLOU.20200916","Grab",8.6,92.2,98,4.2,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-0857-6747","0000-0002-9463-8595",NA,NA
"47","2a6bfe4f-908a-44e0-ada0-a25359dffee4","D14","SYCA","SYCA.AOS.S2",33.750886,-111.508124,1,10,643.1,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T17:00Z","stream","logistical","","SYCA.SS.20200901","SYCA.20200901","",NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-8362-7797","","COVID19",NA
"48","7d6314a6-5ae5-4930-acbe-d1ca3b363242","D14","SYCA","SYCA.AOS.S2",33.750886,-111.508124,1,10,643.1,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-14T18:14Z","stream","","Y","SYCA.SS.20200914","SYCA.20200914","Grab",2.64,31.4,508,24.9,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-8362-7797","0000-0002-8929-7933","",NA
"49","ec161155-2554-45bb-a0db-b8d5bc3f96dd","D15","REDB","REDB.AOS.S2",40.783659,-111.798106,1.1,10,1690.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T15:04Z","stream",NA,"Y","REDB.SS.20200901","REDB.20200901","Grab",9.32,79,602,8.2,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-0485-3687","0000-0003-0485-3687",NA,NA
"50","44be0206-8c2b-45de-b68b-18d9303a71f0","D15","REDB","REDB.AOS.S2",40.783659,-111.798106,1.1,10,1690.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-16T15:30Z","stream",NA,"Y","REDB.SS.20200916","REDB.20200916","Grab",8.87,77.4,626,9.4,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-0485-3687","0000-0002-5333-6523",NA,NA
"51","2799b549-a201-4e85-9c62-89ac51fb0ad1","D16","MART","MART.AOS.S2",45.79233,-121.929416,1.5,10,333.7,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-09T17:59Z","stream",NA,"Y","MART.SS.20200909","MART.20200909","Grab",9.4,90.1,38.7,13.1,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-4400-4199","0000-0001-6846-5179",NA,NA
"52","c7f10c0f-5687-40e1-b99e-4df89bd90af9","D16","MART","MART.AOS.S2",45.79233,-121.929416,1.5,10,333.7,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-22T17:32Z","stream",NA,"Y","MART.SS.20200922","MART.20200922","Grab",9.04,87.6,36.1,13.1,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-6846-5179",NA,NA
"53","d17994e6-4b6e-48d2-b4c9-80a1cfec86e0","D16","MCRA","MCRA.AOS.S2",44.258957,-122.165861,2.2,10,864.1,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T17:28Z","stream",NA,"Y","MCRA.SS.20200901","MCRA.20200901","Grab",8.78,79.5,37.3,10.9,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-6846-5179","0000-0001-6846-5179",NA,NA
"54","3a5863b5-62a5-4cec-af54-be311c6bc785","D17","BIGC","BIGC.AOS.S2",37.057672,-119.255375,1,10,1129.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-09T14:00Z","stream","logistical",NA,"BIGC.SS.20200909","BIGC.20200909",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-7332-328X",NA,"COVID19",NA
"55","62948d66-0905-406b-8030-9b378053475e","D17","TECR","TECR.AOS.S2",36.955224,-119.023553,1,10,2002.8,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T14:00Z","stream","logistical",NA,"TECR.SS.20200901","TECR.20200901",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-7332-328X",NA,"COVID19",NA
"56","f7810fb6-2ac0-40ba-ab5a-3a9095b34cd8","D18","OKSR","OKSR.AOS.S2",68.669659,-149.143501,1,10,767.4,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-07T18:00Z","stream",NA,"Y","OKSR.SS.20200907","OKSR.20200907","Grab",10.48,80.4,49.9,4.2,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-5131-1181","",NA,NA
"57","b990409c-94a6-4b47-b26f-3f53c32a2c3e","D18","OKSR","OKSR.AOS.S2",68.669659,-149.143501,1,10,767.4,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-14T18:48Z","stream",NA,"Y","OKSR.SS.20200914","OKSR.20200914","Grab",12.04,85.3,52.1,1.2,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-5131-1181","0000-0001-6124-7021",NA,NA
"58","98055575-f26b-4b45-938c-326ce6459558","D18","OKSR","OKSR.AOS.S2",68.669659,-149.143501,1,10,767.4,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-21T18:40Z","stream",NA,"Y","OKSR.SS.20200921","OKSR.20200921","Grab",12.72,90.6,36.2,1.5,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-6124-7021","",NA,NA
"59","9a973bbc-c3f4-4de3-a4ff-c4960dcbfd7d","D18","OKSR","OKSR.AOS.S2",68.669659,-149.143501,1,10,767.4,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-28T20:00Z","stream",NA,"Y","OKSR.SS.20200928","OKSR.20200928","Grab",NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-5131-1181","",NA,NA
