"SITE_ID","DOC_Median","TN_Median","TP_Median"
"NLA06608-1102",4.97,230,4
"NLA06608-1103",8.17,6469,224
"NLA06608-1107",63.37,7750,733
"NLA06608-1108",4.47,1083,110
"NLA06608-1111",11.85,1500,193
"NLA06608-1113",1.93,118,9
"NLA06608-1114",5.07,558,63
"NLA06608-1115",10.45,1041,19
"NLA06608-1119",4.99,265,16
"NLA06608-1120",1.1,165,144
"NLA06608-1122",4.11,318,9
"NLA06608-1124",6.5,433,9
"NLA06608-1125",3.68,315,17
"NLA06608-1129",4.97,336,12
"NLA06608-1130",4.8,634,65
"NLA06608-1131",6.76,504,1
"NLA06608-1134",9.74,826,24
"NLA06608-1141",3.23,824,45
"NLA06608-1143",2.08,768,59
"NLA06608-1145",4.29,724,60
"NLA06608-1147",4.52,1414,775
"NLA06608-1148",68.06,6934,242
"NLA06608-1150",8.29,500,11
"NLA06608-1151",4.03,648,129
"NLA06608-1153",0.96,224,3
"NLA06608-1155",26.14,3069,122
"NLA06608-1162",9.26,541,8
"NLA06608-1163",10.23,778,11
"NLA06608-1164",6.74,424,23
"NLA06608-1166",2.05,197,1
"NLA06608-1167",3.83,461,5
"NLA06608-1170",2.61,240,6
"NLA06608-1172",3.51,241,4
"NLA06608-1174",6.07,298,4
"NLA06608-1175",10.58,1328,69
"NLA06608-1177",3.99,328,24
"NLA06608-1179",15.76,2741,133
"NLA06608-1181",6,251,9
"NLA06608-1183",2.19,133,3
"NLA06608-1185",15.41,2869,62
"NLA06608-1189",4.17,281,9
"NLA06608-1190",2.07,96,3
"NLA06608-1191",8.24,984,152
"NLA06608-1195",7.28,753,26
"NLA06608-1198",6.23,611,9
"NLA06608-1199",4.08,836,44
"NLA06608-1204",3.35,230,10
"NLA06608-1206",15.82,834,17
"NLA06608-1207",3.07,240,11
"NLA06608-1208",6.48,1340,148
"NLA06608-1209",5.29,437,22
"NLA06608-1210",49.03,4184,75
"NLA06608-1217",5.6,547,64
"NLA06608-1219",26.7,3794,99
"NLA06608-1220",2.87,478,31
"NLA06608-1222",2.75,391,12
"NLA06608-1223",12.85,4053,422
"NLA06608-1224",5.63,616,23
"NLA06608-1227",4.39,487,8
"NLA06608-1232",5.87,483,12
"NLA06608-1236",5.32,504,52
"NLA06608-1238",2.6,131,1
"NLA06608-1239",16.85,3309,117
"NLA06608-1240",8.57,771,141
"NLA06608-1241",5.63,526,34
"NLA06608-1242",9.14,849,11
"NLA06608-1243",7.45,949,42
"NLA06608-1244",21.59,3772,253
"NLA06608-1245",15.19,596,25
"NLA06608-1255",37.6,13825,1326
"NLA06608-1256",3.41,346,20
"NLA06608-1258",10.44,712,16
"NLA06608-1259",1.96,129,9
"NLA06608-1261",9.71,1014,32
"NLA06608-1262",12.96,788,33
"NLA06608-1263",3.42,453,33
"NLA06608-1266",10.4,2228,933
"NLA06608-1268",5.42,990,69
"NLA06608-1269",5.66,1911,646
"NLA06608-1270",0.65,223,15
"NLA06608-1271",11.21,3534,604
"NLA06608-1273",6.11,2297,197
"NLA06608-1274",5.32,285,4
"NLA06608-1278",15.55,1965,303
"NLA06608-1279",9.69,496,40
"NLA06608-1281",5.06,400,4
"NLA06608-1283",14.24,1012,68
"NLA06608-1284",3.38,180,5
"NLA06608-1288",5.2,619,86
"NLA06608-1292",3.96,395,17
"NLA06608-1295",3.69,740,138
"NLA06608-1297",3.89,1235,17
"NLA06608-1300",4.48,229,5
"NLA06608-1303",12.08,2338,817
"NLA06608-1312",3.76,287,5
"NLA06608-1316",10.5,2606,269
"NLA06608-1319",24.17,4791,241
"NLA06608-1321",2.53,168,10
"NLA06608-1323",3.12,233,9
"NLA06608-1326",8.51,854,24
"NLA06608-1329",2.33,181,9
"NLA06608-1332",6.49,932,148
"NLA06608-1333",3.13,166,3
"NLA06608-1334",3.5,314,7
"NLA06608-1336",6.51,1136,94
"NLA06608-1338",43.21,4316,182
"NLA06608-1339",15.91,3372,184
"NLA06608-1342",12.86,279,12
"NLA06608-1344",5.87,419,27
"NLA06608-1346",2.19,125,3
"NLA06608-1347",7.68,551,12
"NLA06608-1348",2.37,396,5
"NLA06608-1349",8.16,804,30
"NLA06608-1354",3.51,480,6
"NLA06608-1355",5.305,523,4.5
"NLA06608-1356",4.98,416,21
"NLA06608-1358",5.78,323.5,9
"NLA06608-1359",4.53,1166,108
"NLA06608-1360",4.41,734,60
"NLA06608-1364",4.08,2072,213
"NLA06608-1365",2.42,257,13
"NLA06608-1367",22.08,5338,242
"NLA06608-1368",6.68,1180,110
"NLA06608-1369",3.57,679,50
"NLA06608-1370",9.67,1063,39
"NLA06608-1372",4.17,878,113
"NLA06608-1375",5.73,2169,79
"NLA06608-1376",2.69,346,18
"NLA06608-1377",2.99,101,8
"NLA06608-1380",5.7,524,21
"NLA06608-1383",12.4,1444,35
"NLA06608-1387",7.03,994,25
"NLA06608-1389",3.46,2919,53
"NLA06608-1390",7.24,553,15
"NLA06608-1391",8.09,1360,172
"NLA06608-1396",2.2,255,19
"NLA06608-1397",15.57,3559,367
