"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NWCA16-3955",43.70852,-124.08167,4.53,1.37,168,0.302428256
"NWCA16-3963",42.85151,-121.07166,28.6,1.41,198,0.049300699
"NWCA16-3966",45.94495,-123.01127,5.64,0.658,122,0.116666667
"NWCA16-3967",42.71869,-122.38537,2.27,0.296,84,0.130396476
"NWCA16-3971",43.7114,-124.11064,9.57,4.89,194,0.510971787
"NWCA16-3981",45.73561,-117.70049,12.2,0.497,202,0.040737705
"NWCA16-3984",44.89801,-118.38451,4.98,0.193,68,0.03875502
"NWCA16-3989",44.4097,-123.30838,10.6,5.84,658,0.550943396
"NWCA16-3994",45.62992,-123.80023,0.667,1.26,30,1.889055472
"NWCA16-3995",42.8594,-121.0649,35,1.61,358,0.046
"NWCA16-3999",43.70718,-124.0834,3.5,0.419,56,0.119714286
"NWCA16-4001",46.10884,-123.48155,0.709,0.151,164,0.212976023
"NWCA16-4003",43.69404,-124.08429,3.1,0.257,28,0.082903226
"NWCA16-4017",43.70707,-124.08144,2.9,0.442,48,0.152413793
"NWCA16-4094",43.86069,-118.52794,5.86,0.991,370,0.169112628
"NWCA16-4100",43.64242,-119.08167,27,3,1100,0.111111111
"NWCA16-4118",45.20027,-120.92533,5.06,0.281,162,0.055533597
"NWCA16-4146",41.32885,-78.83813,4.23,2.67,22,0.631205674
"NWCA16-4149",40.27252,-76.2065,9.73,2.16,240,0.221993834
"NWCA16-4175",41.621665,-71.77728,13.3,2.13,205,0.1604703755
"NWCA16-4176",41.709375,-71.304405,10.15,0.978,243.5,0.096341487
"NWCA16-4177",41.85745,-71.5657,13.1,0.854,79,0.06519084
"NWCA16-4178",41.462059,-71.437158,21.5,2.31,294,0.10744186
"NWCA16-4181",41.22396,-71.57298,7.7,0.857,20,0.111298701
"NWCA16-4183",41.71342,-71.28829,21.9,1.54,76,0.070319635
"NWCA16-4184",41.46078,-71.44628,6.75,1.88,77,0.278518519
"NWCA16-4187",41.70647,-71.29011,20.6,1.56,1100,0.075728155
"NWCA16-4188",41.55394,-71.44858,6.36,0.91,49,0.143081761
"NWCA16-4189",41.22447,-71.57224,7.14,0.938,42,0.131372549
"NWCA16-4191",41.70744,-71.28927,12.6,0.638,70,0.050634921
"NWCA16-4192",41.2242,-71.56518,30.8,3.28,100,0.106493506
"NWCA16-4227",32.267885,-81.12265,14,1.649,167,0.1169003875
"NWCA16-4228",33.944765,-82.318205,23.95,7.32,625,0.303561118
"NWCA16-4229",32.53478,-80.45293,42.3,15.4,500,0.364066194
"NWCA16-4230",32.39321,-80.66343,26.2,4.58,185,0.17480916
"NWCA16-4231",32.81319,-79.73028,28.9,2.62,4900,0.090657439
"NWCA16-4232",34.21311,-79.11545,33.4,4.34,166,0.12994012
"NWCA16-4233",32.12631,-81.05109,18,1.1,13,0.061111111
"NWCA16-4235",33.21453,-79.26778,6.92,0.517,50,0.074710983
"NWCA16-4237",32.24639,-80.79398,4.49,0.733,110,0.16325167
"NWCA16-4238",32.60799,-80.21423,6,2.87,650,0.478333333
"NWCA16-4239",32.90785,-79.68305,8.46,0.938,200,0.110874704
"NWCA16-4241",32.41106,-80.63055,38.4,1.87,780,0.048697917
"NWCA16-4246",34.17136,-79.54705,13.4,2.04,148,0.152238806
"NWCA16-4247",34.22886,-79.23859,31.9,2.49,206,0.078056426
"NWCA16-4253",32.37745,-80.61649,6.35,0.908,270,0.142992126
"NWCA16-4254",32.60076,-80.18691,6.05,3.95,730,0.652892562
"NWCA16-4255",32.91965,-79.5778,28.4,8.26,390,0.29084507
"NWCA16-4328",44.29758,-103.78348,3.71,0.353,24,0.095148248
"NWCA16-4329",44.806945,-102.291292,27.1,1.93,100,0.071217712
"NWCA16-4331",44.44558,-97.20994,28.8,2.53,370,0.087847222
"NWCA16-4332",44.29113,-103.78654,2.25,0.245,26,0.108888889
"NWCA16-4333",43.09317,-99.71713,13,1.2,120,0.092307692
"NWCA16-4336",44.29376,-103.78607,4.11,0.25,22,0.060827251
"NWCA16-4340",44.28791,-103.78862,2.65,0.584,24,0.220377358
"NWCA16-4343",44.85245,-96.76145,28.6,1.73,118,0.06048951
"NWCA16-4344",44.282724,-103.798971,2.51,0.295,33,0.11752988
"NWCA16-4356",44.28242,-103.79962,2.65,0.25,20,0.094339623
"NWCA16-4359",45.11926,-96.77975,19.7,3.11,148,0.15786802
"NWCA16-4411",36.170445,-88.286195,2.08,1.5695,63,0.6879378865
"NWCA16-4419",36.49793,-89.39194,1.74,1.45,162,0.833333333
"NWCA16-4439",28.849025,-95.47942,11.9,0.6835,199,0.053238994
"NWCA16-4441",29.61555,-94.42703,16.5,1.4,88,0.084848485
"NWCA16-4442",29.54421,-94.47464,18,1.61,950,0.089444444
"NWCA16-4443",29.7501,-94.707656,6.44,0.563,108,0.08742236
"NWCA16-4446",28.67138,-95.97657,4.53,0.655,60,0.144591611
"NWCA16-4466",31.71577,-93.86654,10.7,0.485,184,0.045327103
"NWCA16-4468",27.54743,-97.242,35.5,1.93,32,0.054366197
"NWCA16-4482",30.68633,-93.78065,11.2,0.334,36,0.029821429
"NWCA16-4484",27.44909,-97.30141,39.7,2.08,31,0.052392947
"NWCA16-4502",29.30161,-94.9709,7.35,2.58,132,0.351020408
"NWCA16-4511",31.71261,-98.99632,5.17,0.429,44,0.082978723
"NWCA16-4632",38.49316,-112.01657,NA,0.3655,61.5,NA
"NWCA16-4633",41.5283,-111.79459,NA,0.1745,13,NA
"NWCA16-4634",40.90653,-109.95645,NA,0.62,85,NA
"NWCA16-4635",38.53471,-111.86868,NA,0.366,38,NA
"NWCA16-4637",40.79053,-110.96772,NA,0.226,15,NA
"NWCA16-4641",40.49588,-109.54185,NA,0.171,17,NA
"NWCA16-4646",41.13059,-112.14513,NA,3.73,1790,NA
"NWCA16-4649",41.2149,-111.36489,NA,0.195,11,NA
"NWCA16-4653",40.83034,-110.13352,NA,0.484,17,NA
"NWCA16-4665",41.22442,-111.35629,NA,0.248,9,NA
"NWCA16-4673",40.18592,-109.58685,NA,0.303,18,NA
"NWCA16-4701",40.16422,-109.58443,NA,1.82,92,NA
"NWCA16-4705",41.22734,-111.35493,NA,0.15,7.9,NA
"NWCA16-4707",40.83826,-110.13593,NA,0.134,10.1,NA
"NWCA16-4709",40.18472,-109.59385,NA,0.279,23,NA
"NWCA16-4763",37.912330265,-75.680938345,73.9,2.66,38,0.03625201
"NWCA16-4764",37.391575175,-76.62066098,7.2,0.4695,120,0.1056473215
"NWCA16-4765",37.90681262,-75.66738376,17.6,1.24,78,0.070454545
"NWCA16-4769",37.496734,-75.719022,2.65,0.464,96,0.17509434
"NWCA16-4774",37.584143,-75.629742,2.05,0.332,38,0.16195122
"NWCA16-4780",37.4651223,-77.14918105,8.2,0.877,134,0.10695122
"NWCA16-4788",37.47651,-76.72738,46.7,2.04,36,0.043683084
"NWCA16-4789",36.640169,-76.366695,92.3,2.26,48,0.024485374
