"UniqueLakeName","Lat","Lon","DOC_Median","TN_Median","TP_Median","pH"
"L10748",45.74075,-92.58008,NA,NA,0.033,NA
"L10749",45.44479,-89.787,0.022,NA,0.052,NA
"L10750",44.54583,-87.49905,NA,NA,0.032,NA
"L10751",46.02074,-91.26449,NA,NA,0.012,NA
"L10752",46.26435,-89.77426,NA,NA,0.012,NA
"L10753",43.82589,-88.02583,NA,NA,0.0105,NA
"L10754",41.09354,-93.21443,NA,1.92945,0.18225,NA
"L10755",41.75151,-92.8477,NA,3.8985,0.0666,NA
"L10756",44.4721,-72.81602,NA,NA,0.0104,NA
"L10757",41.5222,-96.01668,NA,1.1676,0.08205,NA
"L10758",45.97882,-92.31921,NA,NA,0.02,NA
"L10759",44.88046,-91.44384,NA,NA,0.0279,NA
"L1076",38.51725,-111.5318,0.002635,NA,NA,8.875
"L10760",45.31221,-92.40941,NA,NA,0.0302,NA
"L10761",44.40739,-72.4416,NA,NA,0.0129,NA
"L10762",46.00511,-89.02083,NA,NA,0.01,NA
"L10763",44.72296,-89.43392,NA,NA,0.017,NA
"L10764",43.98504,-89.55228,NA,NA,0.012,NA
"L10765",45.27805,-91.48346,NA,NA,0.012,NA
"L10766",44.06975,-87.73752,0.011,NA,0.0325,NA
"L10767",43.08094,-73.01918,0.0056,NA,0.0115,NA
"L10768",43.56627,-72.75855,NA,NA,0.0086,NA
"L10769",41.76569,-93.74441,NA,9.5166,0.1038,NA
"L10770",46.06391,-89.58621,NA,0.364,0.044,NA
"L10771",43.44965,-72.56875,NA,NA,0.01395,NA
"L10772",46.47401,-92.04475,0.022,NA,0.042,NA
"L10773",46.22112,-89.71928,NA,NA,0.011,NA
"L10774",43.38592,-88.26326,NA,NA,0.014,NA
"L10775",45.73627,-90.33405,NA,NA,0.031,NA
"L10776",46.22653,-91.30757,NA,NA,0.018,NA
"L10777",44.29164,-89.18199,NA,NA,0.0129,NA
"L10778",42.93263,-73.23297,NA,NA,0.028,NA
"L10779",46.34147,-91.58947,NA,NA,0.0145,NA
"L1078",38.52223,-96.42668,0.00286,NA,NA,8.3
"L10780",45.93549,-91.4159,NA,NA,0.013,NA
"L10781",45.71164,-91.49624,NA,NA,0.071,NA
"L10782",45.30307,-91.40745,NA,NA,0.018,NA
"L10783",45.27625,-88.62125,NA,NA,0.009,NA
"L10784",44.14642,-88.04494,NA,NA,0.533,NA
"L10785",45.43971,-92.4973,NA,NA,0.038,NA
"L10786",46.09414,-91.12579,NA,NA,0.02305,NA
"L10787",41.03391,-93.74299,NA,1.8523,0.3171,NA
"L10788",46.09604,-91.22228,NA,NA,0.0125,NA
"L10789",45.73356,-91.90031,NA,NA,0.018,NA
"L1079",38.52482,-94.17048,NA,0.9,0.07,NA
"L10790",44.6488,-71.65014,NA,NA,0.0059,NA
"L10791",45.72168,-89.88545,0.012,NA,0.039,NA
"L10792",44.56538,-72.20825,NA,NA,0.0116,NA
"L10793",45.71645,-89.10953,NA,NA,0.026,NA
"L10794",44.38758,-73.1596,NA,NA,0.122,NA
"L10795",45.32554,-88.49346,NA,NA,0.017,NA
"L10796",45.62739,-92.60036,NA,NA,0.145,NA
"L10797",44.76446,-73.06156,NA,NA,0.017,NA
"L10798",42.05053,-90.13532,NA,1.0437,0.07695,NA
"L10799",44.42602,-87.85265,NA,NA,0.0145,NA
"L1080",38.5364,-94.43477,NA,0.65,0.0375,NA
"L10800",40.71326,-91.43786,NA,0.83,0.0348,NA
"L10801",45.44368,-89.18632,NA,NA,0.01,NA
"L10802",41.54103,-93.56335,NA,0.92895,0.0539,NA
"L10803",44.93608,-71.8658,NA,NA,0.0115,NA
"L10804",43.17183,-72.87404,NA,NA,0.0172,NA
"L10805",42.84925,-88.35107,NA,NA,0.017,NA
"L10806",41.81434,-93.74836,NA,8.7065,0.0409,NA
"L10807",43.41871,-72.81629,NA,NA,0.0245,NA
"L10808",46.50167,-91.70181,NA,NA,0.017,NA
"L10809",43.41756,-89.73182,NA,NA,0.016,NA
"L1081",38.54282,-77.39674,0.00347,NA,NA,6.8
"L10810",46.12894,-91.95106,NA,NA,0.0125,NA
"L10811",44.60171,-72.35703,NA,NA,0.0075,NA
"L10812",44.67634,-72.37638,NA,NA,0.0111,NA
"L10813",45.31343,-88.63997,NA,NA,0.012,NA
"L10814",43.7496,-73.2074,NA,NA,0.0143,NA
"L10815",45.70284,-90.56405,NA,NA,0.05,NA
"L10816",45.9286,-89.89753,NA,0.370395,0.009,NA
"L10817",44.22686,-89.76426,NA,NA,0.0235,NA
"L10818",42.81707,-88.34773,0.011,NA,0.039,NA
"L10819",42.88643,-73.04023,NA,NA,0.0122,NA
"L1082",38.54944,-87.04565,NA,NA,0.017,NA
"L10820",45.863,-91.44447,NA,NA,0.015,NA
"L10821",44.8001,-71.85062,NA,NA,0.006,NA
"L10822",45.40662,-90.16377,NA,NA,0.037,NA
"L10823",44.73969,-71.97715,NA,NA,0.0093,NA
"L10824",43.46948,-72.75612,NA,NA,0.00935,NA
"L10825",45.74677,-89.58567,NA,NA,0.0295,NA
"L10826",46.18284,-91.87458,NA,NA,0.008,NA
"L10827",44.05451,-89.23333,NA,NA,0.011,NA
"L10828",44.76711,-72.60047,NA,NA,0.0134,NA
"L10829",44.13095,-88.04788,NA,NA,0.146,NA
"L1083",38.55949,-75.56227,0.00367,NA,NA,8.9
"L10830",44.70157,-87.50017,0.009,NA,0.109,NA
"L10831",45.63576,-92.56642,NA,NA,0.0171,NA
"L10832",45.73564,-90.26629,NA,NA,0.049,NA
"L10833",44.07901,-90.26306,NA,NA,0.105,NA
"L10834",44.22768,-72.31008,NA,NA,0.01,NA
"L10835",45.79234,-89.12593,NA,NA,0.01495,NA
"L10836",45.96552,-89.92303,NA,NA,0.011,NA
"L10837",46.15484,-89.50822,0.00447,0.356,0.01,NA
"L10838",44.87292,-72.05582,NA,NA,0.018,NA
"L10839",40.6291,-91.75285,NA,1.7721,0.14,NA
"L10840",40.81515,-92.58284,NA,0.8254,0.0401,NA
"L10841",43.12473,-93.42545,NA,1.49,0.0599,NA
"L10842",42.87188,-88.96195,NA,NA,0.4015,NA
"L10843",43.65806,-89.60756,NA,NA,0.0825,NA
"L10844",44.67648,-72.26259,NA,NA,0.008,NA
"L10845",45.7895,-89.74084,NA,NA,NA,NA
"L10846",41.98814,-93.35677,NA,8.0571,0.0426,NA
"L10847",42.85909,-88.34748,NA,NA,0.018,NA
"L10848",40.77447,-93.77827,NA,1.13,0.0534,NA
"L10849",41.03537,-93.81481,NA,1.36945,0.0839,NA
"L10850",46.02985,-89.48434,NA,0.27609,0.006,NA
"L10851",43.1237,-94.24142,NA,4.5341,0.095,NA
"L10852",46.19954,-89.49964,0.00774,0.481,0.044,NA
"L10853",43.50175,-72.65305,NA,NA,0.0085,NA
"L10854",42.52099,-88.14571,NA,NA,0.0275,NA
"L10855",45.97588,-89.16956,NA,NA,0.016,NA
"L10856",44.41601,-71.93967,NA,NA,0.005,NA
"L10857",44.20499,-89.79305,NA,NA,0.035,NA
"L10858",44.38654,-72.17199,NA,NA,0.005,NA
"L10859",41.9286,-92.86069,NA,0.9196,0.03085,NA
"L1086",38.56291,-93.24374,NA,1.125,0.13075,NA
"L10860",44.36098,-72.16321,NA,NA,0.011,NA
"L10861",45.97303,-92.17104,NA,NA,0.017,NA
"L10862",43.76018,-73.26066,NA,NA,0.0143,NA
"L10863",46.01448,-91.31868,NA,NA,0.01,NA
"L10864",43.54449,-89.36461,0.0061,NA,0.029,NA
"L10865",45.92755,-90.06866,NA,NA,0.027,NA
"L10866",44.17309,-73.08929,NA,NA,0.023,NA
"L10867",41.80027,-91.54873,NA,1.6654,0.04585,NA
"L10868",43.02532,-87.94297,NA,NA,0.211,NA
"L10869",45.72146,-88.67537,NA,NA,0.015,NA
"L1087",38.5695,-91.78842,NA,0.635,0.0215,NA
"L10870",42.79983,-88.21867,NA,NA,0.046,NA
"L10871",44.13009,-89.50995,NA,NA,0.016,NA
"L10872",46.22328,-92.2227,NA,NA,0.048,NA
"L10873",44.26605,-72.22742,NA,NA,0.009,NA
"L10874",44.18789,-72.09915,NA,NA,0.028,NA
"L10875",44.32446,-89.35092,NA,NA,0.0211,NA
"L10876",46.01666,-89.20585,NA,0.322,0.021,NA
"L10877",44.66701,-73.10107,NA,NA,0.0305,NA
"L10878",44.33337,-89.82969,NA,NA,0.0135,NA
"L10879",45.38652,-92.47523,0.0046,NA,0.02,NA
"L1088",38.57431,-86.08802,NA,NA,0.042,NA
"L10880",44.33305,-89.183,0.0032,NA,0.024,NA
"L10881",44.46344,-72.39756,NA,NA,0.008,NA
"L10882",46.05639,-91.27837,NA,NA,0.016,NA
"L10883",44.56538,-72.4205,NA,NA,0.01335,NA
"L10884",43.47315,-72.70018,NA,NA,0.00795,NA
"L10885",43.75637,-89.16365,NA,NA,0.115,NA
"L10886",40.7142,-94.69118,NA,1.4401,0.1087,NA
"L10887",43.78821,-89.44997,NA,NA,0.025,NA
"L10888",44.40055,-72.41668,NA,NA,0.01285,NA
"L10889",43.45253,-72.70126,NA,NA,0.0092,NA
"L1089",38.58112,-90.08585,NA,NA,0.315,NA
"L10890",42.9839,-88.50341,NA,NA,0.037,NA
"L10891",44.93704,-87.20188,NA,NA,0.008,NA
"L10892",41.78542,-91.58439,NA,6.7412,0.2023,NA
"L10893",41.47673,-93.91933,NA,1.8186,0.1454,NA
"L10894",46.16206,-90.17027,NA,NA,0.024,NA
"L10895",45.81714,-92.25174,NA,NA,0.01025,NA
"L10896",44.7778,-89.35328,NA,NA,0.009,NA
"L10897",44.81616,-88.38943,NA,NA,0.01755,NA
"L10898",44.35408,-72.96377,NA,NA,0.0094,NA
"L10899",43.76555,-73.18349,NA,NA,NA,NA
"L1090",38.59636,-92.30518,NA,0.79,0.053,NA
"L10900",43.37453,-88.22859,NA,NA,0.019,NA
"L10901",45.41034,-88.89319,NA,NA,0.0265,NA
"L10902",45.49345,-92.42209,NA,NA,0.017,NA
"L10903",45.83893,-89.7578,0.0037,NA,0.0095,NA
"L10904",42.7878,-88.55173,NA,NA,0.014,NA
"L10905",40.71015,-93.39889,NA,1.7184,0.1791,NA
"L10906",44.64443,-72.20404,NA,NA,0.0157,NA
"L10907",46.06911,-91.94867,NA,NA,0.017,NA
"L10908",43.60803,-90.09123,0.004,NA,0.05885,NA
"L10909",46.21564,-89.68378,0.012,NA,0.016,NA
"L1091",38.60231,-111.8406,0.007,NA,NA,8.9
"L10910",44.24627,-72.24405,NA,NA,0.008,NA
"L10911",44.10946,-89.38829,NA,NA,0.018,NA
"L10912",46.29318,-90.82869,NA,NA,0.03,NA
"L10913",44.88285,-71.78073,NA,NA,0.0114,NA
"L10914",41.19476,-91.89627,NA,3.32715,0.13345,NA
"L10915",43.94393,-87.98837,NA,NA,0.0176,NA
"L10916",41.11479,-92.8456,NA,1.4998,0.1198,NA
"L10917",43.07627,-88.38962,NA,NA,0.014,NA
"L10918",45.89852,-91.43169,NA,NA,0.019,NA
"L10919",45.93937,-89.22991,NA,0.419,0.0285,NA
"L10920",42.11973,-94.02028,NA,10.9702,0.04995,NA
"L10921",40.99693,-93.27356,NA,0.8563,0.03515,NA
"L10922",44.30816,-72.27871,NA,NA,0.0095,NA
"L10923",46.06209,-91.9617,NA,NA,0.012,NA
"L10924",43.96885,-87.89577,NA,NA,0.01475,NA
"L10925",44.95705,-72.21798,NA,NA,0.018,NA
"L10926",45.96864,-89.32633,0.016,NA,0.04,NA
"L10927",45.59711,-89.54863,NA,NA,0.009,NA
"L10928",44.62389,-72.26273,NA,NA,0.01705,NA
"L10929",44.17475,-89.1743,NA,NA,0.02,NA
"L1093",38.61767,-82.62306,0.00322903,0.13,0.0154,NA
"L10930",42.99036,-87.89936,NA,NA,0.269,NA
"L10931",42.52347,-88.25682,NA,NA,0.019,NA
"L10932",44.92648,-72.10211,NA,NA,0.012,NA
"L10933",45.18099,-92.61582,NA,NA,0.1555,NA
"L10934",43.53953,-90.95748,0.0031,NA,0.035,NA
"L10935",44.53377,-72.52514,NA,NA,0.0135,NA
"L10936",43.48605,-72.7046,NA,NA,0.00945,NA
"L10937",44.85524,-88.0721,NA,NA,0.041,NA
"L10938",45.79447,-92.39856,NA,NA,0.081,NA
"L10939",45.89426,-89.63154,NA,NA,0.022,NA
"L10940",43.73696,-88.98493,NA,NA,0.152,NA
"L10941",43.02662,-90.09205,NA,NA,0.0305,NA
"L10942",43.49825,-89.30232,0.0042,NA,0.132,NA
"L10943",45.39835,-91.31397,0.01,NA,0.033,NA
"L10944",44.39403,-89.33739,NA,NA,0.0269,NA
"L10945",43.44717,-72.56268,NA,NA,0.0078,NA
"L10946",44.35269,-72.50137,NA,NA,0.021,NA
"L10947",43.75576,-73.2706,NA,NA,0.007,NA
"L10948",45.33333,-92.42937,0.0054,NA,0.04,NA
"L10949",43.86692,-73.06963,NA,NA,0.0134,NA
"L1095",38.6283,31.11802,NA,2.3,0.64,NA
"L10950",44.44787,-72.44048,NA,NA,0.0175,NA
"L10951",44.69011,-88.66802,NA,NA,0.016,NA
"L10952",44.85347,-72.98957,NA,NA,0.0176,NA
"L10953",44.15274,-88.04915,NA,NA,0.0728,NA
"L10954",44.32253,-89.18175,NA,NA,0.012,NA
"L10955",41.06405,-94.71988,NA,1.9075,0.0526,NA
"L10956",45.28325,-88.58646,NA,NA,0.01,NA
"L10957",43.01547,-89.3252,0.0073,NA,0.0745,NA
"L10958",46.46707,-91.74486,NA,NA,0.018,NA
"L10959",42.57342,-88.10186,NA,NA,0.02,NA
"L10960",43.80633,-88.01763,NA,NA,0.011,NA
"L10961",43.07777,-88.93066,0.0062,NA,0.017,NA
"L10962",44.7569,-73.06347,NA,NA,0.014,NA
"L10963",46.12125,-89.8235,NA,NA,0.014,NA
"L10964",46.00364,-89.52263,0.004,NA,0.013,NA
"L10965",44.33114,-72.26002,NA,NA,0.01275,NA
"L10966",46.47702,-92.06137,NA,NA,0.0242,NA
"L10967",45.97157,-89.70941,0.00346,NA,0.016,NA
"L10968",45.7317,-89.68239,NA,NA,0.036,NA
"L10969",45.43004,-91.97513,NA,NA,0.052,NA
"L10970",45.55759,-88.70712,NA,NA,0.012,NA
"L10971",45.4539,-92.51325,NA,NA,0.107,NA
"L10972",44.98631,-71.92913,NA,NA,0.009,NA
"L10973",41.40753,-93.07572,NA,3.63,0.0885,NA
"L10974",44.69114,-88.67615,NA,NA,0.012,NA
"L10975",40.87503,-93.03471,NA,1.1898,0.0946,NA
"L10976",46.13415,-89.82637,NA,NA,0.0185,NA
"L10977",45.50771,-91.72375,NA,NA,0.0385,NA
"L10978",41.29102,-92.54102,NA,1.58,0.0715,NA
"L10979",45.02161,-88.22709,NA,NA,0.012,NA
"L1098",38.64383,-75.54742,0.00226,NA,NA,8.4
"L10980",44.04533,-87.73761,NA,NA,0.02125,NA
"L10981",44.05358,-87.73063,NA,NA,0.04415,NA
"L10982",44.7297,-71.65741,NA,NA,0.0135,NA
"L10983",45.42231,-92.09945,NA,NA,0.035,NA
"L10984",45.29619,-91.59969,NA,NA,0.018,NA
"L10985",45.60561,-92.32072,NA,NA,0.024,NA
"L10986",45.5717,-91.98347,NA,NA,0.018,NA
"L10987",43.15778,-88.47229,NA,NA,0.014,NA
"L10988",45.52418,-89.7311,NA,NA,0.0174,NA
"L10989",44.19241,-72.58739,NA,NA,0.009,NA
"L1099",38.64851,-85.94677,NA,NA,0.0185,NA
"L10990",45.76755,-91.76996,NA,NA,0.024,NA
"L10991",43.46839,-73.21262,NA,NA,0.015,NA
"L10992",42.78446,-72.98605,NA,NA,0.0146,NA
"L10993",43.55523,-87.95354,NA,NA,0.021,NA
"L10994",45.99794,-89.73317,0.00353,0.28979,0.00745,NA
"L10995",45.27992,-91.10392,NA,NA,0.0495,NA
"L10996",40.59871,-93.76912,NA,0.59615,0.02005,NA
"L10997",45.80395,-89.71156,0.0033,NA,0.0085,NA
"L10998",42.98767,-95.66799,NA,1.8597,0.0408,NA
"L10999",45.33588,-92.59561,NA,NA,0.08535,NA
"L1100",38.65441,-82.39107,NA,0.199,0.0131,NA
"L11000",45.91777,-89.19567,NA,0.419,0.0226,NA
"L11001",43.97966,-89.80125,NA,NA,0.0308,NA
"L11002",45.98942,-92.32637,NA,NA,0.0195,NA
"L11003",45.75442,-90.37164,NA,NA,0.0433,NA
"L11004",45.93765,-89.70832,0.00519,NA,0.014,NA
"L11005",44.41256,-72.21608,NA,NA,0.0215,NA
"L11006",45.21446,-90.44689,NA,NA,0.025,NA
"L11007",43.70311,-73.22433,NA,NA,0.0182,NA
"L11008",44.74654,-72.23418,NA,NA,0.03,NA
"L11009",46.52816,-91.37593,NA,NA,0.014,NA
"L1101",38.66087,-119.5264,0.00231,NA,NA,7.7
"L11010",44.07679,-72.58722,NA,NA,0.0167,NA
"L11011",40.70889,-91.97099,NA,0.62155,0.0221,NA
"L11012",43.14776,-72.80591,NA,NA,0.009,NA
"L11013",45.76499,-91.52155,NA,NA,0.014,NA
"L11014",46.18115,-90.06074,NA,NA,0.024,NA
"L11015",43.14697,-94.65941,NA,2.3188,0.0804,NA
"L11016",45.95802,-90.33743,NA,NA,0.03,NA
"L11017",42.82829,-72.89446,NA,NA,0.00935,NA
"L11018",45.95013,-89.45303,0.006315,0.435,0.023,NA
"L11019",45.31833,-88.47621,NA,NA,0.00865,NA
"L11020",45.4973,-92.15063,NA,NA,0.089,NA
"L11021",46.12051,-91.94934,NA,NA,0.018,NA
"L11022",44.81506,-89.35016,NA,NA,0.027,NA
"L11023",41.77864,-92.9635,NA,2.41,0.1224,NA
"L11024",43.93128,-87.89127,NA,NA,0.0148,NA
"L11025",44.09609,-89.22223,NA,NA,0.015,NA
"L11026",45.79933,-89.13422,NA,NA,0.01475,NA
"L11027",45.32249,-92.20492,NA,NA,0.115,NA
"L11028",41.58803,-92.55105,NA,1.32455,0.0839,NA
"L11029",45.60229,-91.57864,NA,NA,0.0259,NA
"L11030",43.80371,-89.35406,NA,NA,0.0125,NA
"L11031",46.12512,-89.285,0.003825,0.37231,0.01,NA
"L11032",44.74191,-72.11844,NA,NA,0.01225,NA
"L11033",45.25407,-91.45068,NA,NA,0.024,NA
"L11034",45.98488,-88.99975,NA,NA,0.027,NA
"L11035",42.76359,-89.97407,NA,NA,0.127,NA
"L11036",44.9722,-72.87496,NA,NA,0.029,NA
"L11037",43.17441,-91.90877,NA,1.49955,0.0736,NA
"L11038",45.66859,-90.45488,NA,NA,0.054,NA
"L11039",43.6648,-73.23923,NA,NA,0.0145,NA
"L1104",38.67292,-90.97213,NA,0.45,0.017,NA
"L11040",45.71315,-92.55082,NA,NA,0.0195,NA
"L11041",44.60048,-89.34202,NA,NA,0.022,NA
"L11042",43.81056,-88.99334,0.0042,NA,0.024,NA
"L11043",43.58445,-88.92545,NA,NA,0.133,NA
"L11044",46.20021,-89.44678,NA,NA,0.01725,NA
"L11045",44.87817,-72.14777,NA,NA,0.018,NA
"L11046",40.65248,-93.85107,NA,0.59005,0.0234,NA
"L11047",42.85954,-88.60066,NA,NA,0.019,NA
"L11048",44.0887,-89.11824,NA,NA,0.009,NA
"L11049",44.11888,-89.2062,NA,NA,0.0175,NA
"L1105",38.67422,-90.97748,NA,0.365,0.012,NA
"L11050",46.80097,-91.10786,NA,NA,0.021,NA
"L11051",44.33008,-72.07832,NA,NA,0.0091,NA
"L11052",44.44434,-72.35484,NA,NA,0.01,NA
"L11053",43.74718,-73.18151,NA,NA,0.0114,NA
"L11054",43.00496,-72.94615,0.00328,NA,NA,NA
"L11055",41.01163,-92.42644,NA,2.1155,0.3038,NA
"L11056",46.15863,-91.92159,NA,NA,0.035,NA
"L11057",43.90168,-73.07578,NA,NA,0.0104,NA
"L11058",45.86841,-89.81068,NA,NA,0.031,NA
"L11059",45.13181,-88.05111,NA,NA,0.013,NA
"L1106",38.67535,-90.9879,NA,0.34,0.011,NA
"L11060",43.69283,-73.21907,NA,NA,0.0071,NA
"L11061",45.24573,-88.35484,NA,NA,0.011,NA
"L11062",46.05153,-89.59105,NA,NA,NA,NA
"L11063",45.77086,-89.52707,NA,NA,0.01,NA
"L11064",42.74246,-72.61127,NA,NA,0.009,NA
"L11065",45.77706,-92.4814,NA,NA,0.018,NA
"L11066",46.38669,-91.5306,NA,NA,0.011,NA
"L11067",44.72825,-90.84171,NA,NA,0.058,NA
"L11068",45.53452,-92.38883,NA,NA,0.026,NA
"L11069",44.0678,-72.63531,NA,NA,0.01115,NA
"L1107",38.68747,-86.14651,NA,NA,0.027,NA
"L11070",46.06835,-89.73728,0.0042,NA,0.017,NA
"L11071",44.04078,-87.73129,NA,NA,0.0233,NA
"L11072",41.27527,-93.58859,NA,1.0728,0.067,NA
"L11073",44.49016,-71.69262,NA,NA,0.0141,NA
"L11074",46.05554,-89.32246,0.00411,0.31762,0.006,NA
"L11075",45.93627,-89.00297,NA,NA,0.009,NA
"L11076",45.35886,-89.19522,0.00745,NA,0.022,NA
"L11077",44.98434,-71.70269,NA,NA,0.006,NA
"L11078",46.16299,-89.3178,0.003935,0.343,0.008,NA
"L11079",45.77499,-90.71582,NA,NA,0.02205,NA
"L1108",38.69018,-94.35792,NA,0.99,0.098,NA
"L11080",46.84972,-91.19695,NA,NA,0.02,NA
"L11081",44.74842,-72.05257,NA,NA,0.008,NA
"L11082",44.35566,-72.28782,NA,NA,0.0122,NA
"L11083",45.38307,-90.14617,NA,NA,0.082,NA
"L11084",43.073,-88.30703,NA,NA,0.018,NA
"L11085",46.21474,-91.87185,NA,NA,0.008,NA
"L11086",46.17971,-90.98633,0.0038,NA,0.009,NA
"L11087",43.50882,-94.58303,NA,2.7168,0.14065,NA
"L11088",43.50374,-95.12734,NA,2.5709,0.1852,NA
"L11089",43.15483,-72.02994,NA,NA,NA,NA
"L11090",43.7928,-71.12283,NA,NA,NA,NA
"L11091",43.61639,-70.96803,0.00389,0.216,0.01,NA
"L11092",43.90956,-71.99343,NA,NA,NA,NA
"L11093",42.83155,-71.44446,NA,NA,NA,NA
"L11094",38.76171,-91.07141,NA,0.9,0.029,NA
"L11095",44.76132,-71.04048,0.0041,NA,0.0195,NA
"L11096",43.46182,-72.05394,NA,NA,NA,NA
"L11097",43.56167,-70.96044,0.00291,0.195,0.006,NA
"L11098",44.44207,-71.6058,NA,NA,NA,NA
"L11099",43.65854,-71.52425,NA,NA,NA,NA
"L1110",38.7018,-90.09503,0.00751,NA,NA,7.6
"L11100",43.17296,-71.06536,NA,NA,NA,NA
"L11101",43.38376,-70.98607,0.004,NA,0.0095,NA
"L11102",43.61475,-71.59489,NA,NA,NA,NA
"L11103",43.60118,-70.98938,0.00305,NA,NA,NA
"L11104",42.98384,-71.76499,NA,NA,NA,NA
"L11105",39.76958,-94.26647,NA,0.94,0.0735,NA
"L11106",38.19185,-92.89921,NA,0.67,0.041,NA
"L11107",38.03775,-92.82877,NA,0.545,0.024,NA
"L11108",39.15446,-91.89305,NA,0.745,0.039,NA
"L11109",38.79522,-90.78038,NA,0.535,0.024,NA
"L1111",38.7036,-118.718,0.04465,NA,NA,9.3
"L11110",38.20708,-92.71325,NA,0.84,0.045,NA
"L11111",39.44793,-94.5067,NA,0.87,0.034,NA
"L11112",37.48276,-94.25231,NA,0.56,0.0345,NA
"L11113",38.77088,-91.0712,NA,0.74,0.028,NA
"L11114",38.75798,-92.20649,NA,0.38,0.013,NA
"L11115",38.3129,-90.5935,NA,0.52,0.022,NA
"L11116",39.1925,-92.20774,NA,0.8,0.037,NA
"L11117",38.92653,-94.25584,NA,0.52,0.03,NA
"L11118",39.30637,-92.51862,NA,0.74,0.022,NA
"L11119",37.91728,-93.96979,NA,0.78,0.025,NA
"L1112",38.71219,-90.79065,NA,0.5,0.029,NA
"L11120",36.66194,-93.19642,NA,0.72,0.042,NA
"L11121",43.25485,-71.51601,NA,NA,NA,NA
"L11122",43.2414,-72.09916,0.0092,NA,NA,NA
"L11123",42.81983,-72.45011,0.00402,NA,NA,NA
"L11124",37.16101,-90.78694,NA,0.28,0.015,NA
"L11125",39.77219,-94.30101,NA,0.37,0.022,NA
"L11126",36.98535,-90.35045,NA,0.44,0.0355,NA
"L11127",39.00485,-94.32497,NA,0.57,0.034,NA
"L11128",42.48055,-83.79572,NA,NA,0.0165,NA
"L11129",42.45049,-83.84571,NA,NA,0.016,NA
"L1113",38.71328,-84.2755,0.00505,NA,NA,7.8
"L11130",45.65721,-84.96736,NA,0.6525,0.00855,NA
"L11131",44.76363,-83.87277,0.01506073,0.6782464,0.0109,NA
"L11132",44.9131,-84.0022,0.01790395,1.463965,0.014,NA
"L11133",38.19952,-89.61946,NA,NA,0.367,NA
"L11134",42.81419,-75.89256,NA,0.325,0.011,NA
"L11135",40.91817,-72.40843,NA,0.5,0.024,NA
"L11136",42.93669,-73.85861,NA,0.59,0.028,NA
"L11137",42.10607,-79.72618,0.0044,0.4,0.031,NA
"L11138",42.49279,-77.56724,NA,0.405,0.012,NA
"L11139",44.36648,-74.2546,NA,0.265,0.008,NA
"L1114",38.7169,-90.48469,NA,0.975,0.134,NA
"L11140",42.51645,-75.77491,NA,0.305,0.009,NA
"L11141",43.6148,-73.57407,0.0018,0.18,0.006,NA
"L11142",41.2115,-73.83177,NA,0.52,0.046,NA
"L11143",43.69497,-75.27386,NA,0.32,0.007,NA
"L11144",42.38876,-77.47448,NA,1.034,0.051,NA
"L11145",41.58675,-74.55927,NA,0.3355,0.016,NA
"L11146",41.09772,-75.27734,NA,0.48,0.01,NA
"L11147",41.19028,-89.35858,NA,NA,0.578,NA
"L11148",43.92167,-75.26235,NA,0.362,0.006,NA
"L11149",42.82658,-74.13092,0.0072,0.58,0.037,NA
"L1115",38.72218,-86.03946,NA,NA,0.042,NA
"L11150",44.227,-74.82639,NA,0.36,0.01,NA
"L11151",42.40674,-90.33896,NA,NA,NA,NA
"L11152",43.03063,-74.0754,NA,0.355,0.013,NA
"L11153",41.6826,-75.82073,NA,0.91,0.038,NA
"L11154",44.14312,-73.57337,NA,0.21,0.0075,NA
"L11155",41.97147,-73.67366,NA,0.47,0.017,NA
"L11156",41.47445,-75.71794,NA,0.86,0.046,NA
"L11157",37.63861,-89.28227,NA,NA,0.031,NA
"L11158",37.97935,-88.3136,NA,NA,0.1525,NA
"L11159",37.6874,-88.38836,NA,NA,0.028,NA
"L1116",38.72323,-88.76256,0.00589,NA,NA,8.8
"L11160",37.59377,-88.91169,NA,NA,0.016,NA
"L11161",38.92314,-89.93601,NA,NA,0.116,NA
"L11162",42.22919,-88.95781,NA,NA,0.016,NA
"L11163",41.74549,-88.86188,NA,NA,0.0385,NA
"L11164",38.79086,-89.68826,NA,NA,0.345,NA
"L11165",40.06906,-87.98572,NA,NA,0.084,NA
"L11166",42.0738,-87.87233,NA,NA,0.036,NA
"L11167",42.05129,-87.8766,NA,NA,0.038,NA
"L11168",42.01285,-87.8967,NA,NA,0.016,NA
"L11169",41.64832,-87.90067,NA,NA,0.075,NA
"L11170",41.60381,-87.86604,NA,NA,0.06485,NA
"L11171",41.67775,-87.58725,NA,NA,0.024,NA
"L11172",42.3755,-88.12704,NA,NA,0.077,NA
"L11173",41.6489,-75.38354,NA,0.5,0.023,NA
"L11174",41.44521,-74.50031,NA,0.28,0.023,NA
"L11175",42.73525,-73.41271,NA,0.35,0.007,NA
"L11176",42.02232,-75.45937,NA,0.241,0.006,NA
"L11177",41.2939,-73.66291,NA,0.43,0.029,NA
"L11178",42.83144,-76.50763,NA,1.4,0.009,NA
"L11179",39.21148,-89.97048,NA,NA,0.138,NA
"L1118",38.7336,-90.77141,NA,1.03,0.093,NA
"L11180",42.64167,-76.91838,NA,NA,0.009,NA
"L11181",43.14015,-76.53309,NA,0.46,0.012,NA
