"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"NRS18_DE_10015",1.26,1.8806,34.805
"NRS18_DE_10016",1.09,3.3969,53.538
"NRS18_DE_10018",2.08,3.8716,56.124
"NRS18_DE_10019",3.49,1.1056,125.748
"NRS18_DE_10020",1.76,2.8603,61.82
"NRS18_DE_10021",2.01,0.98355,43.1335
"NRS18_DE_10033",2.02,4.1444,53.075
"NRS18_DE_10037",5.17,3.105,101.538
"NRS18_DE_10332",1.99,1.3482,49.155
"NRS18_FL_10002",8.175,0.08335,69.3385
"NRS18_FL_10003",7.48,0.0695,124.601
"NRS18_FL_10004",21.95,0.0282,17.125
"NRS18_FL_10006",16.18,0.0423,67.2145
"NRS18_FL_10007",2.715,0.49735,36.6785
"NRS18_FL_10008",1.41,0.1996,5.199
"NRS18_FL_10009",14.21,2e-04,127.633
"NRS18_FL_10010",7.42,0.417,142.748
"NRS18_FL_10011",20.85,0.6792,143.284
"NRS18_FL_10012",14.74,0.0431,28.291
"NRS18_FL_10017",36.2,0.0363,58.339
"NRS18_FL_10020",3.55,0.3733,78.044
"NRS18_FL_10021",4.26,0.00695,9.2135
"NRS18_FL_10035",13.4,0.4791,40.485
"NRS18_FL_10037",34.5,0.0279,169.586
"NRS18_FL_10042",7.92,0.0052,12.009
"NRS18_FL_10047",4.53,0.0072,65.638
"NRS18_FL_10183",29.92,0.0042,17.644
"NRS18_FL_10333",16.17,0.0011,59.168
"NRS18_FL_10334",6.16,0.1205,14.94
"NRS18_FL_RF001",59.29,0.0285,152.935
"NRS18_FL_RF002",1.8,0.188,16.733
"NRS18_FL_RF003",2.06,0.7523,65.464
"NRS18_GA_10001",1.88,0.38655,22.5525
"NRS18_GA_10002",9.345,0.106,168.229
"NRS18_GA_10003",3.2,0.1339,46.764
"NRS18_GA_10004",3.99,0.0685,62.058
"NRS18_GA_10005",1.24,0.1402,17.271
"NRS18_GA_10006",1.33,0.4212,25.216
"NRS18_GA_10007",2,0.6743,85.294
"NRS18_GA_10008",2.2,0.2903,23.048
"NRS18_GA_10010",2.17,0.6907,20.96
"NRS18_GA_10011",2.775,0.0671,33.946
"NRS18_GA_10012",2.18,0.6231,81.3615
"NRS18_GA_10014",1.9,0.3742,103.874
"NRS18_GA_10015",0.96,0.4303,29.038
"NRS18_GA_10016",4.5,0.3581,61.641
"NRS18_GA_10017",5.87,0.0138,113.653
"NRS18_GA_10018",1.43,0.0627,15.391
"NRS18_GA_10019",1.19,0.8593,62.49
"NRS18_GA_10020",1.98,2.3752,106.244
"NRS18_GA_10022",3.97,0.0574,23.144
"NRS18_GA_10023",4.2,0.088,21.078
"NRS18_GA_10024",0.77,0.1395,24.801
"NRS18_GA_10025",1.54,0.0698,11.348
"NRS18_GA_10026",7.84,0.0077,57.039
"NRS18_GA_10027",4.35,0.1668,27.253
"NRS18_GA_10029",1.73,0.3674,42.8
"NRS18_GA_10035",1.51,1.5086,22.576
"NRS18_GA_10036",0.67,0.0916,20.646
"NRS18_GA_10057",3.67,0.1002,57.516
"NRS18_GA_10950",1.99,0.6679,43.98
"NRS18_GA_RF001",10.19,0.0695,64.87
"NRS18_GA_RF002",0.78,0.285,21.66
"NRS18_IA_10001",2.215,6.6448,247.2265
