"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median"
"NLA06608-0339",46.1144387,-99.4245298,17.45,1659,376
"NLA06608-0340",35.6907977,-105.8760128,6.5,333,23
"NLA06608-0341",43.2084934,-75.9351619,3.24,333,23
"NLA06608-0343",44.871734,-96.6353204,16.95,2606,117
"NLA06608-0344",40.9644058,-96.8765715,7.1,848,53
"NLA06608-0345",36.6584792,-79.8441122,3.72,511,22
"NLA06608-0350",45.7646886,-90.6606696,14.52,902,18
"NLA06608-0354",42.513169,-71.8070414,2.29,188,5
"NLA06608-0356",36.5624187,-104.5942811,9.47,2897,167
"NLA06608-0357",42.3128049,-73.1377874,4.39,276,14
"NLA06608-0358",44.8402587,-71.1347965,5.45,209,7
"NLA06608-0359",45.4086013,-96.6263625,9.9,1296,191
"NLA06608-0361",35.0206335,-81.0474152,2.32,171,19
"NLA06608-0363",41.9346068,-85.3308898,5.3,567,18
"NLA06608-0366",46.9426701,-95.2672386,3.59,601,14
"NLA06608-0367",41.3649693,-81.2208946,4.66,2157,54
"NLA06608-0369",44.5863556,-72.3118644,2.67,163,1
"NLA06608-0372",38.4638561,-105.0515471,3.26,229,16
"NLA06608-0373",34.2564815,-117.1853787,3.18,104,1
"NLA06608-0376",36.3088402,-96.1285969,5.62,324,6
"NLA06608-0377",40.8634047,-76.7741425,4.63,850,46
"NLA06608-0378",47.5571677,-112.4475051,2.54,223,9
"NLA06608-0384",48.7160644,-103.1433201,51.51,4291,68
"NLA06608-0385",48.24355,-112.8672712,25.52,1834,51
"NLA06608-0386",40.4915755,-78.4606619,1.39,475,9
"NLA06608-0388",36.6816499,-83.704948,1.4,60,2
"NLA06608-0393",37.8944447,-120.5721188,1.75,101,8
"NLA06608-0395",33.0978039,-86.4800643,4.04,231,13
"NLA06608-0399",42.4230422,-83.9967011,14.26,586,13
"NLA06608-0401",47.1778426,-68.2314003,4.39,279,10
"NLA06608-0402",42.8897489,-124.0780934,6.12,1657,136
"NLA06608-0403",47.3959543,-94.5618385,5.64,485,20
"NLA06608-0405",41.9713728,-75.8794845,3.31,458,16
"NLA06608-0406",45.1803812,-121.7044304,2.34,172,4
"NLA06608-0407",45.0933556,-97.7543842,26.01,2872,762
"NLA06608-0408",34.3688218,-97.2818327,2.29,270,15
"NLA06608-0413",36.5605718,-77.7454141,7.34,581,106
"NLA06608-0414",46.1318006,-91.6104565,27.44,1296,40
"NLA06608-0418",42.7698256,-71.9999278,3.34,296,8
"NLA06608-0421",43.095043,-73.7667433,2.6,537,9
"NLA06608-0425",38.6023118,-111.8406157,7,1433,234
"NLA06608-0426",43.8382238,-85.0738813,6.2,574,5
"NLA06608-0432",34.720922,-90.0717,3.88,644,218
"NLA06608-0433",44.5225114,-73.292627,2.77,422,7
"NLA06608-0435",45.1682657,-90.6981382,17.78,1824,78
"NLA06608-0436",34.4519776,-92.9382529,3.12,398,29
"NLA06608-0439",45.6434979,-99.2311106,66.98,19200,1056
"NLA06608-0440",36.2389426,-97.3481023,4.85,853,182
"NLA06608-0442",48.2861019,-101.9047579,67.34,6559,385
"NLA06608-0444",34.1657892,-89.9116161,3.72,383,42
"NLA06608-0445",40.0407566,-81.0154886,3.54,336,15
"NLA06608-0447",38.4796138,-82.8760354,2.48,79,3
"NLA06608-0449",48.1358037,-117.6915241,2.81,404,16
"NLA06608-0452",39.8068455,-105.0360311,5.32,604,37
"NLA06608-0453",28.5733236,-81.7702539,19.64,1056,48
"NLA06608-0454",41.9709889,-71.1989894,4.88,367,16
"NLA06608-0456",33.063257,-96.4758381,5.11,681,29
"NLA06608-0458",31.163782,-83.5418964,10.56,947,39
"NLA06608-0459",34.2269109,-86.8423449,3.66,200,8
"NLA06608-0462",46.1990633,-89.293977,2.17,194,3
"NLA06608-0463",42.2117641,-83.5209821,6.91,1031,82
"NLA06608-0467",43.5459215,-89.3644564,6.22,788,15
"NLA06608-0468",39.4324094,-106.6003635,1.24,179,8
"NLA06608-0469",41.9097341,-75.3378393,2.41,191,11
"NLA06608-0470",43.623088,-71.2654292,4.15,193,8
"NLA06608-0471",45.4401574,-97.2623188,7.87,839,24
"NLA06608-0472",34.5706114,-96.2383568,9.57,803,78
"NLA06608-0473",35.5162948,-80.2033846,3.09,714,55
"NLA06608-0479",39.9206178,-83.0042548,3.08,318,14
"NLA06608-0480",37.9943376,-90.542139,2.77,213,3.5
"NLA06608-0483",29.4914702,-101.1563449,2.93,461,4
"NLA06608-0484",36.3106781,-88.4898179,5.41,1519,190
"NLA06608-0488",37.1924901,-95.9867253,7.85,1070,162
"NLA06608-0489",38.4936321,-78.0076252,11.7,1275,107
"NLA06608-0491",41.413144,-85.734175,7,665,16
"NLA06608-0493",38.7712489,-77.6455552,3.48,353,15
"NLA06608-0494",46.8221905,-94.5335402,5.02,401,4
