"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NYRF-0001",42.60627,-73.47956,9.31,346,26,13.30769231
"NYRF-0002",42.50124,-74.43872,1.41,168,17.4,9.655172414
"NYRF-0003",44.55787,-73.44391,4.12,274,30,9.133333333
"NYRF-0004",43.48307,-73.79941,3.79,229,16,14.3125
"NYRF-0005",44.30054,-75.3443,6.24,394,16,24.625
"NYRF-0006",43.25015,-74.20937,5.42,281,24,11.70833333
"NYRM-1001",42.01278,-75.77946,2.52,519,34,15.26470588
"NYRM-1002",43.30507,-73.59358,5.65,555,28,19.82142857
"NYRM-1003",42.54433,-74.95158,2.82,504,45,11.2
"NYRM-1004",42.69165,-73.70884,3.97,644,39,16.51282051
"NYRM-1005",42.08366,-76.29192,3.32,818,77,10.62337662
"NYRM-1006",43.47235,-73.84035,3.97,259,16,16.1875
"NYRM-1007",42.28799,-75.48149,2,640,24,26.66666667
"NYRM-1008",42.17815,-73.8706,4.09,651,59,11.03389831
"NYRO-1049",44.91335,-74.93946,13.02,629,48,13.10416667
"NYRO-1050",42.31674,-75.94378,3.36,988,68,14.52941176
"NYRO-1051",43.80096,-75.46669,5.1,510,29,17.5862069
"NYRO-1052",44.62279,-75.22698,13.03,635,46,13.80434783
"NYRO-1053",42.56912,-79.13579,1.59,679,19,35.73684211
"NYRO-1054",42.10099,-75.91594,2.68,908,39,23.28205128
"NYRO-1055",42.94959,-74.3836,3.33,920,52,17.69230769
"NYRO-1056",44.84435,-75.08576,13.61,638,47,13.57446809
"NYRO-1057",42.76741,-77.83879,2.35,560,39,14.35897436
"NYRO-1058",43.16468,-76.25831,3.6,1174,46,25.52173913
"NYRO-1060",44.33427,-75.47149,6.61,359,15,23.93333333
"NYS9-0923",42.93689,-76.61918,2.1,1728,85.6,20.14376706
"NYS9-0924",43.00711,-76.68105,8.21,1302,117.15,11.151995265
"NYS9-0925",44.8645,-74.128,3.38,454,29,15.65517241
"NYS9-0926",43.53158,-74.55173,4.22,284,29,9.793103448
"NYS9-0927",42.67849,-77.70648,1.61,3438,211,16.29383886
"NYS9-0929",41.59626,-74.36753,1.23,153,25,6.12
"NYS9-0930",42.11547,-79.26637,4.26,1476,219,6.739726027
"NYS9-0931",42.90824,-75.4783,6.64,1258,222,5.666666667
"NYS9-0932",43.01567,-76.85464,5.23,556,94,5.914893617
"NYS9-0933",42.23492,-78.77276,2.88,606,150,4.04
"NYS9-0934",42.74127,-76.4744,2.16,496,107,4.635514019
