"SITECODE","SDATE","FIELDNAME","VALUE"
"T09",12-DEC-07,"MAGNESIUM",1.89
"T09",12-DEC-07,"NH4N",0.5
"T09",12-DEC-07,"NO3N",0.62
"T09",12-DEC-07,"PH",5.43
"T09",12-DEC-07,"PHAQCS",4.03
"T09",12-DEC-07,"PHAQCU",4.02
"T09",12-DEC-07,"PO4P",0.07
"T09",12-DEC-07,"POTASSIUM",2.93
"T09",12-DEC-07,"SO4S",1.82
"T09",12-DEC-07,"SODIUM",2.91
"T11",12-DEC-07,"ALKY",0.1
"T11",12-DEC-07,"ALUMINIUM",0.319
"T11",12-DEC-07,"CALCIUM",3.33
"T11",12-DEC-07,"CHLORIDE",10.2
"T11",12-DEC-07,"CONDY",45.9
"T11",12-DEC-07,"DOC",0.2
"T11",12-DEC-07,"IRON",0.342
"T11",12-DEC-07,"MAGNESIUM",1.85
"T11",12-DEC-07,"NH4N",0.724
"T11",12-DEC-07,"NO3N",0.643
"T11",12-DEC-07,"PH",5.66
"T11",12-DEC-07,"PO4P",0.154
"T11",12-DEC-07,"POTASSIUM",2.84
"T11",12-DEC-07,"SO4S",1.77
"T11",12-DEC-07,"SODIUM",2.9
"T11",12-DEC-07,"TOTALN",1.15
"T09",12-DEC-07,"TOTALN",1.37
"T06",13-DEC-07,"ALUMINIUM",0.295
"T06",13-DEC-07,"TOTALN",1.27
"T06",13-DEC-07,"CHLORIDE",9.977
"T06",13-DEC-07,"CONDY",60.8
"T06",13-DEC-07,"IRON",0.34
"T06",13-DEC-07,"MAGNESIUM",2.036
"T06",13-DEC-07,"NH4N",0.582
"T06",13-DEC-07,"NO3N",0.583
"T06",13-DEC-07,"PH",5.78
"T06",13-DEC-07,"PHAQCS",5.77
"T06",13-DEC-07,"PHAQCU",5.78
"T06",13-DEC-07,"PO4P",0.158
"T06",13-DEC-07,"POTASSIUM",2.823
"T06",13-DEC-07,"SO4S",1.767
"T06",13-DEC-07,"SODIUM",3.004
"T06",13-DEC-07,"CALCIUM",3.583
"T07",19-DEC-07,"ALKY",0
"T07",19-DEC-07,"ALUMINIUM",0.299
"T07",19-DEC-07,"CALCIUM",3.54
"T07",19-DEC-07,"CHLORIDE",10.54
"T07",19-DEC-07,"CONDY",57.8
"T07",19-DEC-07,"DOC",0.12
"T07",19-DEC-07,"IRON",0.363
"T07",19-DEC-07,"MAGNESIUM",1.99
"T07",19-DEC-07,"NH4N",0.639
"T07",19-DEC-07,"NO3N",0.671
"T11",19-DEC-07,"SODIUM",3.06
"T11",19-DEC-07,"TOTALN",1.04
"T11",19-DEC-07,"ALKY",0.42
"T11",19-DEC-07,"ALUMINIUM",0.345
"T11",19-DEC-07,"CALCIUM",3.5
"T11",19-DEC-07,"CHLORIDE",10.2
"T11",19-DEC-07,"CONDY",54.8
"T11",19-DEC-07,"DOC",0.2
"T11",19-DEC-07,"IRON",0.335
"T11",19-DEC-07,"MAGNESIUM",1.93
"T11",19-DEC-07,"NH4N",0.601
"T11",19-DEC-07,"NO3N",0.629
"T11",19-DEC-07,"PH",5.74
"T11",19-DEC-07,"PO4P",0.151
"T11",19-DEC-07,"POTASSIUM",2.95
"T11",19-DEC-07,"SO4S",1.86
"T09",19-DEC-07,"ALUMINIUM",0.304
"T09",19-DEC-07,"CALCIUM",3.52
"T09",19-DEC-07,"CHLORIDE",10.25
"T09",19-DEC-07,"CONDY",57.9
"T09",19-DEC-07,"IRON",0.318
"T09",19-DEC-07,"MAGNESIUM",1.9
"T09",19-DEC-07,"NH4N",0.48
"T09",19-DEC-07,"NO3N",0.61
"T09",19-DEC-07,"PH",5.65
"T09",19-DEC-07,"PHAQCS",4.06
"T09",19-DEC-07,"PHAQCU",4.04
"T09",19-DEC-07,"PO4P",0.09
"T09",19-DEC-07,"POTASSIUM",2.99
"T09",19-DEC-07,"SO4S",1.8
"T09",19-DEC-07,"SODIUM",2.92
"T09",19-DEC-07,"TOTALN",1.4
"T02",19-DEC-07,"ALKY",0
"T02",19-DEC-07,"ALUMINIUM",0.281
"T02",19-DEC-07,"CALCIUM",3.56
"T02",19-DEC-07,"CHLORIDE",9.87
"T02",19-DEC-07,"CONDY",48.7
"T02",19-DEC-07,"DOC",0.17
"T02",19-DEC-07,"IRON",0.323
"T02",19-DEC-07,"MAGNESIUM",1.87
"T02",19-DEC-07,"NH4N",0.655
"T02",19-DEC-07,"NO3N",0.64
"T02",19-DEC-07,"PH",5.4
"T02",19-DEC-07,"PO4P",0.15
"T02",19-DEC-07,"POTASSIUM",2.86
"T02",19-DEC-07,"SO4S",1.69
"T02",19-DEC-07,"SODIUM",2.92
"T02",19-DEC-07,"TOTALN",1.21
"T03",19-DEC-07,"CALCIUM",6.42
"T03",19-DEC-07,"CHLORIDE",9.89
"T03",19-DEC-07,"CONDY",66
"T03",19-DEC-07,"MAGNESIUM",3.79
"T03",19-DEC-07,"NH4N",0.748
"T03",19-DEC-07,"NO3N",0.657
"T03",19-DEC-07,"PH",6.65
"T03",19-DEC-07,"PHAQCU",6.55
"T03",19-DEC-07,"PO4P",0.146
"T03",19-DEC-07,"POTASSIUM",6.38
"T03",19-DEC-07,"SO4S",1.73
"T03",19-DEC-07,"SODIUM",6.36
"T05",19-DEC-07,"CALCIUM",3.521
"T05",19-DEC-07,"CHLORIDE",11.235
"T05",19-DEC-07,"MAGNESIUM",2.018
"T05",19-DEC-07,"NH4N",0.046
"T05",19-DEC-07,"NO3N",0.386
"T05",19-DEC-07,"PHAQCS",5.9
"T05",19-DEC-07,"PHAQCU",6.36
"T05",19-DEC-07,"PO4P",0.148
"T05",19-DEC-07,"POTASSIUM",2.968
"T05",19-DEC-07,"SO4S",1.858
"T05",19-DEC-07,"SODIUM",3.265
"T05",19-DEC-07,"TOTALN",1.161
"T04",19-DEC-07,"ALUMINIUM",0.294
"T04",19-DEC-07,"CALCIUM",3.43
"T04",19-DEC-07,"CHLORIDE",10.2
"T04",19-DEC-07,"COLOUR",0
"T04",19-DEC-07,"CONDY",55.5
"T04",19-DEC-07,"DOC",0.5
"T04",19-DEC-07,"IRON",0.338
"T04",19-DEC-07,"MAGNESIUM",1.93
"T04",19-DEC-07,"NH4N",0.61
"T04",19-DEC-07,"NO3N",0.605
"T04",19-DEC-07,"PHAQCS",4
"T04",19-DEC-07,"PHAQCU",4.01
"T04",19-DEC-07,"PO4P",0.156
"T04",19-DEC-07,"POTASSIUM",2.93
"T04",19-DEC-07,"SO4S",1.74
"T04",19-DEC-07,"SODIUM",2.9
"T04",19-DEC-07,"TOTALN",1.15
"T04",19-DEC-07,"TOTALP",0.115
"T07",19-DEC-07,"PH",5.5
"T07",19-DEC-07,"PO4P",0.149
"T07",19-DEC-07,"POTASSIUM",2.9
"T07",19-DEC-07,"SO4S",1.85
"T07",19-DEC-07,"SODIUM",2.91
"T07",19-DEC-07,"TOTALN",1.21
"T06",20-DEC-07,"ALUMINIUM",0.291
"T08",20-DEC-07,"ALKY",0.155
"T06",20-DEC-07,"CHLORIDE",10.05
"T06",20-DEC-07,"CONDY",61.5
"T06",20-DEC-07,"IRON",0.324
"T06",20-DEC-07,"MAGNESIUM",1.983
"T06",20-DEC-07,"NH4N",0.556
"T06",20-DEC-07,"NO3N",0.597
"T06",20-DEC-07,"PH",5.67
"T06",20-DEC-07,"PHAQCS",5.66
"T06",20-DEC-07,"PHAQCU",5.67
"T06",20-DEC-07,"PO4P",0.149
"T06",20-DEC-07,"POTASSIUM",2.981
"T06",20-DEC-07,"SO4S",1.741
"T06",20-DEC-07,"SODIUM",3.036
"T06",20-DEC-07,"TOTALN",1.363
"T08",20-DEC-07,"CHLORIDE",1.75
"T08",20-DEC-07,"CONDY",58
"T08",20-DEC-07,"DOC",1.24
"T08",20-DEC-07,"NH4N",10
"T08",20-DEC-07,"NO3N",0.59
"T08",20-DEC-07,"PH",5.4
"T08",20-DEC-07,"PHAQCS",3.95
"T08",20-DEC-07,"PHAQCU",3.98
"T08",20-DEC-07,"PO4P",0.617
"T08",20-DEC-07,"SO4S",0.3
"T08",20-DEC-07,"TOTALN",0.135
"T06",20-DEC-07,"CALCIUM",3.525
"T05",26-DEC-07,"PHAQCS",5.99
"T09",26-DEC-07,"SODIUM",2.907
"T05",26-DEC-07,"PO4P",0.124
"T05",26-DEC-07,"TOTALN",1.037
"T09",26-DEC-07,"TOTALN",1.44
"T09",26-DEC-07,"ALUMINIUM",3.05
"T09",26-DEC-07,"CALCIUM",3.375
"T09",26-DEC-07,"CHLORIDE",9.841
"T09",26-DEC-07,"CONDY",58
"T09",26-DEC-07,"IRON",3.142
"T09",26-DEC-07,"MAGNESIUM",1.909
"T09",26-DEC-07,"NH4N",0.43
"T09",26-DEC-07,"NO3N",0.625
"T09",26-DEC-07,"PH",5.54
"T09",26-DEC-07,"PHAQCS",4.03
"T09",26-DEC-07,"PHAQCU",4.03
"T09",26-DEC-07,"PO4P",0.062
"T09",26-DEC-07,"POTASSIUM",2.889
"T09",26-DEC-07,"SO4S",1.725
"T05",26-DEC-07,"PHAQCU",5.93
"T03",02-JAN-08,"CALCIUM",3.56
"T09",02-JAN-08,"TOTALN",1.54
"T03",02-JAN-08,"CONDY",63.6
"T03",02-JAN-08,"DOC",0.7
"T03",02-JAN-08,"MAGNESIUM",2.15
"T03",02-JAN-08,"NH4N",0.763
"T03",02-JAN-08,"NO3N",2.66
"T03",02-JAN-08,"PH",7.22
"T03",02-JAN-08,"PHAQCU",7.22
"T03",02-JAN-08,"PO4P",0.155
"T03",02-JAN-08,"POTASSIUM",3.01
"T03",02-JAN-08,"SO4S",1.73
"T03",02-JAN-08,"SODIUM",2.98
"T05",02-JAN-08,"NO3N",0.692
"T05",02-JAN-08,"PHAQCS",5.9
"T05",02-JAN-08,"PHAQCU",5.88
"T05",02-JAN-08,"PO4P",0.149
"T05",02-JAN-08,"POTASSIUM",2.879
"T05",02-JAN-08,"SO4S",1.924
"T05",02-JAN-08,"SODIUM",3.363
"T05",02-JAN-08,"TOTALN",1.193
"T05",02-JAN-08,"CALCIUM",3.518
"T05",02-JAN-08,"CHLORIDE",10.407
"T05",02-JAN-08,"MAGNESIUM",2.066
"T05",02-JAN-08,"NH4N",0
"T06",02-JAN-08,"ALUMINIUM",0.296
"T06",02-JAN-08,"CALCIUM",3.51
"T06",02-JAN-08,"CHLORIDE",9.71
"T06",02-JAN-08,"CONDY",63.6
"T06",02-JAN-08,"DOC",1.283
"T06",02-JAN-08,"IRON",0.333
"T06",02-JAN-08,"MAGNESIUM",2
"T06",02-JAN-08,"NH4N",0.535
"T06",02-JAN-08,"NO3N",0.604
"T06",02-JAN-08,"PH",5.79
"T06",02-JAN-08,"PHAQCS",5.78
"T06",02-JAN-08,"PHAQCU",5.79
"T06",02-JAN-08,"PO4P",0.151
"T06",02-JAN-08,"POTASSIUM",3.063
"T06",02-JAN-08,"SO4S",1.765
"T06",02-JAN-08,"SODIUM",3.105
"T09",02-JAN-08,"ALUMINIUM",0.291
"T09",02-JAN-08,"CALCIUM",3.406
"T09",02-JAN-08,"CHLORIDE",10.104
"T09",02-JAN-08,"CONDY",58.8
"T09",02-JAN-08,"IRON",0.314
"T09",02-JAN-08,"MAGNESIUM",1.932
"T09",02-JAN-08,"NH4N",0.53
"T09",02-JAN-08,"NO3N",0.598
"T09",02-JAN-08,"PH",5.56
"T09",02-JAN-08,"PHAQCS",4.03
"T09",02-JAN-08,"PHAQCU",4.03
"T09",02-JAN-08,"PO4P",0.068
"T09",02-JAN-08,"POTASSIUM",2.911
"T09",02-JAN-08,"SO4S",1.783
"T09",02-JAN-08,"SODIUM",2.898
"T03",02-JAN-08,"CHLORIDE",10.05
"T04",03-JAN-08,"PO4P",0.155
"T08",03-JAN-08,"SODIUM",2.84
"T04",03-JAN-08,"SO4S",1.68
"T04",03-JAN-08,"SODIUM",2.84
"T04",03-JAN-08,"TOTALP",0.126
"T04",03-JAN-08,"ALUMINIUM",0.341
"T04",03-JAN-08,"CALCIUM",3.51
"T04",03-JAN-08,"CHLORIDE",10.3
"T04",03-JAN-08,"COLOUR",0
"T04",03-JAN-08,"CONDY",55.6
"T04",03-JAN-08,"DOC",0.4
"T04",03-JAN-08,"IRON",0.35
"T04",03-JAN-08,"MAGNESIUM",1.97
"T04",03-JAN-08,"NH4N",0.62
"T04",03-JAN-08,"NO3N",0.59
"T04",03-JAN-08,"PH",5.49
"T04",03-JAN-08,"PHAQCS",4.05
"T04",03-JAN-08,"PHAQCU",4.1
"T08",03-JAN-08,"ALUMINIUM",0.28
"T08",03-JAN-08,"CALCIUM",3.49
"T08",03-JAN-08,"CONDY",56.8
"T08",03-JAN-08,"CONDY",58
"T08",03-JAN-08,"IRON",0.35
"T08",03-JAN-08,"MAGNESIUM",1.96
"T08",03-JAN-08,"PH",5.58
"T08",03-JAN-08,"PH",6.22
"T08",03-JAN-08,"PHAQCS",3.95
"T08",03-JAN-08,"PHAQCU",4.03
"T08",03-JAN-08,"POTASSIUM",2.87
"T04",03-JAN-08,"POTASSIUM",2.85
"T05",09-JAN-08,"CHLORIDE",10.653
"T09",09-JAN-08,"TOTALN",1.36
"T05",09-JAN-08,"PO4P",0.135
"T05",09-JAN-08,"SO4S",2.583
"T05",09-JAN-08,"TOTALN",1.172
"T06",09-JAN-08,"ALUMINIUM",0.296
"T06",09-JAN-08,"CALCIUM",3.507
"T06",09-JAN-08,"CHLORIDE",9.62
"T06",09-JAN-08,"CONDY",60.3
"T06",09-JAN-08,"DOC",1.343
"T06",09-JAN-08,"IRON",0.329
"T06",09-JAN-08,"MAGNESIUM",2
"T06",09-JAN-08,"NH4N",0.548
"T06",09-JAN-08,"NO3N",0.598
"T06",09-JAN-08,"PH",5.78
"T06",09-JAN-08,"PHAQCS",5.77
"T06",09-JAN-08,"PHAQCU",5.78
"T06",09-JAN-08,"PO4P",0.152
"T06",09-JAN-08,"POTASSIUM",3.005
"T06",09-JAN-08,"SO4S",1.757
"T06",09-JAN-08,"SODIUM",3.068
"T09",09-JAN-08,"ALUMINIUM",0.276
"T09",09-JAN-08,"CALCIUM",3.338
"T09",09-JAN-08,"CHLORIDE",9.849
"T09",09-JAN-08,"CONDY",58.7
"T09",09-JAN-08,"IRON",0.31
"T09",09-JAN-08,"MAGNESIUM",1.874
"T09",09-JAN-08,"NH4N",0.45
"T09",09-JAN-08,"NO3N",0.59
"T09",09-JAN-08,"PH",5.31
"T09",09-JAN-08,"PHAQCS",4.03
"T09",09-JAN-08,"PHAQCU",4.02
"T09",09-JAN-08,"PO4P",0.08
"T09",09-JAN-08,"POTASSIUM",2.88
"T09",09-JAN-08,"SO4S",1.734
"T09",09-JAN-08,"SODIUM",2.842
"T05",09-JAN-08,"NO3N",0.675
"T11",10-JAN-08,"ALKY",0.1
"T11",10-JAN-08,"TOTALN",1.09
"T11",10-JAN-08,"CALCIUM",3.62
"T11",10-JAN-08,"CHLORIDE",10.1
"T11",10-JAN-08,"CONDY",63
"T11",10-JAN-08,"DOC",0.25
"T11",10-JAN-08,"IRON",0.342
"T11",10-JAN-08,"MAGNESIUM",2.02
"T11",10-JAN-08,"NH4N",0.644
"T11",10-JAN-08,"NO3N",0.623
"T11",10-JAN-08,"PH",5.65
"T11",10-JAN-08,"PO4P",0.136
"T11",10-JAN-08,"POTASSIUM",3.06
"T11",10-JAN-08,"SO4S",1.82
"T11",10-JAN-08,"SODIUM",3.07
"T11",10-JAN-08,"ALUMINIUM",0.304
"T06",13-JAN-08,"ALUMINIUM",0.295
"T06",13-JAN-08,"SODIUM",3.007
"T06",13-JAN-08,"CHLORIDE",10
"T06",13-JAN-08,"CONDY",57.7
"T06",13-JAN-08,"DOC",1.24
"T06",13-JAN-08,"IRON",0.329
"T06",13-JAN-08,"MAGNESIUM",1.983
"T06",13-JAN-08,"NH4N",0.581
"T06",13-JAN-08,"NO3N",0.58
"T06",13-JAN-08,"PH",5.69
"T06",13-JAN-08,"PHAQCS",5.69
"T06",13-JAN-08,"PHAQCU",5.69
"T06",13-JAN-08,"PO4P",0.148
"T06",13-JAN-08,"POTASSIUM",2.946
"T06",13-JAN-08,"SO4S",1.793
"T06",13-JAN-08,"CALCIUM",3.48
"T02",16-JAN-08,"PH",5.5
"T02",16-JAN-08,"PO4P",0.15
"T02",16-JAN-08,"POTASSIUM",2.92
"T02",16-JAN-08,"SO4S",1.68
"T02",16-JAN-08,"SODIUM",2.88
"T02",16-JAN-08,"TOTALN",1.3
"T03",16-JAN-08,"SO4S",1.7
"T03",16-JAN-08,"SODIUM",3.03
"T03",16-JAN-08,"CALCIUM",3.41
"T03",16-JAN-08,"CHLORIDE",10.04
"T03",16-JAN-08,"CONDY",65.1
"T03",16-JAN-08,"DOC",0.67
"T03",16-JAN-08,"MAGNESIUM",1.96
"T03",16-JAN-08,"NH4N",0.724
"T03",16-JAN-08,"NO3N",2.67
"T03",16-JAN-08,"PH",6.84
"T03",16-JAN-08,"PHAQCU",6.84
"T03",16-JAN-08,"PO4P",0.165
"T03",16-JAN-08,"POTASSIUM",2.95
"T02",16-JAN-08,"ALKY",0
"T02",16-JAN-08,"ALUMINIUM",0.295
"T02",16-JAN-08,"CALCIUM",3.61
"T02",16-JAN-08,"CHLORIDE",9.92
"T02",16-JAN-08,"CONDY",56.8
"T02",16-JAN-08,"DOC",0.11
"T02",16-JAN-08,"IRON",0.425
"T02",16-JAN-08,"MAGNESIUM",1.94
"T02",16-JAN-08,"NH4N",0.659
"T02",16-JAN-08,"NO3N",0.589
"T05",16-JAN-08,"CALCIUM",3.637
"T05",16-JAN-08,"CHLORIDE",10.732
"T05",16-JAN-08,"MAGNESIUM",2.018
"T05",16-JAN-08,"NH4N",0
"T05",16-JAN-08,"NO3N",0.684
"T05",16-JAN-08,"PHAQCS",5.96
"T05",16-JAN-08,"PHAQCU",5.77
"T05",16-JAN-08,"PO4P",0.141
"T05",16-JAN-08,"POTASSIUM",4.024
"T05",16-JAN-08,"SO4S",1.822
"T05",16-JAN-08,"SODIUM",3.414
"T05",16-JAN-08,"TOTALN",1.197
"T07",16-JAN-08,"ALUMINIUM",0.315
"T07",16-JAN-08,"CALCIUM",3.65
"T07",16-JAN-08,"CHLORIDE",9.71
"T07",16-JAN-08,"CONDY",56.9
"T07",16-JAN-08,"DOC",0.37
"T07",16-JAN-08,"IRON",0.39
"T07",16-JAN-08,"MAGNESIUM",2.07
"T07",16-JAN-08,"NH4N",0.654
"T07",16-JAN-08,"NO3N",0.6
"T07",16-JAN-08,"PH",5.4
"T07",16-JAN-08,"PO4P",0.152
"T07",16-JAN-08,"POTASSIUM",3.09
"T07",16-JAN-08,"SO4S",1.59
"T07",16-JAN-08,"SODIUM",3.11
"T07",16-JAN-08,"TOTALN",1.34
"T07",16-JAN-08,"ALKY",0
"T09",16-JAN-08,"ALUMINIUM",0.311
"T09",16-JAN-08,"CALCIUM",3.373
"T09",16-JAN-08,"CHLORIDE",9.904
"T09",16-JAN-08,"CONDY",57.7
"T09",16-JAN-08,"IRON",0.306
"T09",16-JAN-08,"MAGNESIUM",1.89
"T09",16-JAN-08,"NH4N",0.41
"T09",16-JAN-08,"NO3N",0.597
"T09",16-JAN-08,"PH",5.59
"T09",16-JAN-08,"PHAQCS",4.05
"T09",16-JAN-08,"PHAQCU",4.04
"T09",16-JAN-08,"PO4P",0.066
"T09",16-JAN-08,"POTASSIUM",2.875
"T09",16-JAN-08,"SO4S",1.751
"T09",16-JAN-08,"SODIUM",2.825
"T09",16-JAN-08,"TOTALN",1.5
"T06",17-JAN-08,"IRON",0.324
"T08",17-JAN-08,"CONDY",49.8
"T06",17-JAN-08,"ALUMINIUM",0.291
"T06",17-JAN-08,"CALCIUM",3.525
"T06",17-JAN-08,"CHLORIDE",10.05
"T06",17-JAN-08,"CONDY",55.4
"T06",17-JAN-08,"DOC",1.363
"T08",17-JAN-08,"DOC",0.4
"T08",17-JAN-08,"IRON",0.352
"T08",17-JAN-08,"MAGNESIUM",1.95
"T08",17-JAN-08,"NH4N",0.59
"T08",17-JAN-08,"NO3N",0.64
"T08",17-JAN-08,"PH",5.44
"T08",17-JAN-08,"PHAQCS",4.11
"T08",17-JAN-08,"PHAQCU",4.19
"T08",17-JAN-08,"PO4P",0.155
"T08",17-JAN-08,"POTASSIUM",2.87
"T08",17-JAN-08,"SO4S",1.82
"T08",17-JAN-08,"SODIUM",2.83
"T08",17-JAN-08,"TOTALN",1.32
"T08",17-JAN-08,"TOTALP",0.151
"T06",17-JAN-08,"NH4N",0.556
"T06",17-JAN-08,"NO3N",0.597
"T06",17-JAN-08,"PH",5.59
"T06",17-JAN-08,"PHAQCS",5.58
"T06",17-JAN-08,"PHAQCU",5.59
"T06",17-JAN-08,"PO4P",0.149
"T06",17-JAN-08,"POTASSIUM",2.981
"T06",17-JAN-08,"SO4S",1.741
"T06",17-JAN-08,"SODIUM",3.036
"T08",17-JAN-08,"ALUMINIUM",0.275
"T08",17-JAN-08,"CALCIUM",3.46
"T08",17-JAN-08,"CHLORIDE",10.5
"T06",17-JAN-08,"MAGNESIUM",1.983
"T02",23-JAN-08,"ALKY",0
"T09",23-JAN-08,"TOTALN",1.51
"T02",23-JAN-08,"CALCIUM",3.5
"T02",23-JAN-08,"CHLORIDE",9.79
"T02",23-JAN-08,"CONDY",57
"T02",23-JAN-08,"DOC",0.14
"T02",23-JAN-08,"IRON",0.381
"T02",23-JAN-08,"MAGNESIUM",2
"T02",23-JAN-08,"NH4N",0.671
"T02",23-JAN-08,"NO3N",0.596
"T02",23-JAN-08,"PH",5.7
"T02",23-JAN-08,"PO4P",0.157
"T02",23-JAN-08,"POTASSIUM",2.96
"T02",23-JAN-08,"SO4S",1.68
"T02",23-JAN-08,"SODIUM",2.98
"T02",23-JAN-08,"TOTALN",1.35
"T05",23-JAN-08,"CALCIUM",3.557
"T05",23-JAN-08,"MAGNESIUM",1.985
"T05",23-JAN-08,"NH4N",0
"T05",23-JAN-08,"NO3N",0.663
"T05",23-JAN-08,"PHAQCS",6.04
"T05",23-JAN-08,"PHAQCU",5.98
"T05",23-JAN-08,"PO4P",0.14
"T05",23-JAN-08,"POTASSIUM",3.76
"T05",23-JAN-08,"SO4S",1.799
"T05",23-JAN-08,"SODIUM",6.46
"T05",23-JAN-08,"TOTALN",1.038
"T09",23-JAN-08,"ALUMINIUM",0.307
"T09",23-JAN-08,"CALCIUM",3.421
"T09",23-JAN-08,"CHLORIDE",10.002
"T09",23-JAN-08,"CONDY",57.4
"T09",23-JAN-08,"IRON",0.302
"T09",23-JAN-08,"MAGNESIUM",1.885
"T09",23-JAN-08,"NH4N",0.56
"T09",23-JAN-08,"NO3N",0.605
"T09",23-JAN-08,"PH",5.69
"T09",23-JAN-08,"PHAQCS",4.05
"T09",23-JAN-08,"PHAQCU",4.05
"T09",23-JAN-08,"PO4P",0.087
"T09",23-JAN-08,"POTASSIUM",2.902
"T09",23-JAN-08,"SO4S",1.771
"T09",23-JAN-08,"SODIUM",2.851
"T02",23-JAN-08,"ALUMINIUM",0.312
"T06",24-JAN-08,"ALUMINIUM",0.294
"T11",24-JAN-08,"TOTALN",1.2
"T06",24-JAN-08,"CHLORIDE",9.96
"T06",24-JAN-08,"CONDY",57.5
"T06",24-JAN-08,"DOC",1.3
"T06",24-JAN-08,"IRON",0.335
"T06",24-JAN-08,"MAGNESIUM",1.993
"T06",24-JAN-08,"NH4N",0.566
"T06",24-JAN-08,"NO3N",0.583
"T06",24-JAN-08,"PH",5.88
"T06",24-JAN-08,"PHAQCS",5.87
"T06",24-JAN-08,"PHAQCU",5.88
"T06",24-JAN-08,"PO4P",0.16
"T06",24-JAN-08,"POTASSIUM",2.998
"T06",24-JAN-08,"SO4S",1.751
"T06",24-JAN-08,"SODIUM",3.018
"T11",24-JAN-08,"ALKY",0.3
"T11",24-JAN-08,"ALUMINIUM",0.322
"T11",24-JAN-08,"CALCIUM",3.83
"T11",24-JAN-08,"CHLORIDE",10
"T11",24-JAN-08,"CONDY",48.6
"T11",24-JAN-08,"DOC",0.2
"T11",24-JAN-08,"IRON",0.333
"T11",24-JAN-08,"MAGNESIUM",2.11
"T11",24-JAN-08,"NH4N",0.66
"T11",24-JAN-08,"NO3N",0.634
"T11",24-JAN-08,"PH",5.65
"T11",24-JAN-08,"PO4P",0.148
"T11",24-JAN-08,"POTASSIUM",3.28
"T11",24-JAN-08,"SO4S",1.91
"T11",24-JAN-08,"SODIUM",3.28
"T06",24-JAN-08,"CALCIUM",3.496
"T03",30-JAN-08,"CALCIUM",3.54
"T09",30-JAN-08,"TOTALN",1.43
"T03",30-JAN-08,"CONDY",70
"T03",30-JAN-08,"DOC",0.6
"T03",30-JAN-08,"MAGNESIUM",2.04
"T03",30-JAN-08,"NH4N",0.722
"T03",30-JAN-08,"NO3N",2.79
"T03",30-JAN-08,"PH",7.93
"T03",30-JAN-08,"PHAQCU",7.93
"T03",30-JAN-08,"PO4P",0.166
"T03",30-JAN-08,"POTASSIUM",2.91
"T03",30-JAN-08,"SO4S",1.84
"T03",30-JAN-08,"SODIUM",3.07
"T05",30-JAN-08,"CALCIUM",4.391
"T05",30-JAN-08,"MAGNESIUM",2.054
"T05",30-JAN-08,"NH4N",3.374
"T05",30-JAN-08,"NO3N",0.634
"T05",30-JAN-08,"PHAQCS",6.57
"T05",30-JAN-08,"PHAQCU",5.66
"T05",30-JAN-08,"PO4P",0.146
"T05",30-JAN-08,"POTASSIUM",2.701
"T05",30-JAN-08,"SO4S",1.758
"T05",30-JAN-08,"SODIUM",3.374
"T05",30-JAN-08,"TOTALN",1.129
"T09",30-JAN-08,"ALUMINIUM",0.286
"T09",30-JAN-08,"CALCIUM",3.351
"T09",30-JAN-08,"CHLORIDE",9.979
"T09",30-JAN-08,"CONDY",57.3
"T09",30-JAN-08,"IRON",0.303
"T09",30-JAN-08,"MAGNESIUM",1.861
"T09",30-JAN-08,"NH4N",0.48
"T09",30-JAN-08,"NO3N",0.604
"T09",30-JAN-08,"PH",5.63
"T09",30-JAN-08,"PHAQCS",4.01
"T09",30-JAN-08,"PHAQCU",4.02
"T09",30-JAN-08,"PO4P",0.089
"T09",30-JAN-08,"POTASSIUM",2.891
"T09",30-JAN-08,"SO4S",1.771
"T09",30-JAN-08,"SODIUM",2.803
"T03",30-JAN-08,"CHLORIDE",10.54
"T06",31-JAN-08,"IRON",0.33
"T06",31-JAN-08,"DOC",1.31
"T06",31-JAN-08,"NH4N",0.579
"T06",31-JAN-08,"NO3N",0.578
"T06",31-JAN-08,"PH",5.6
"T06",31-JAN-08,"PHAQCS",5.59
"T06",31-JAN-08,"PHAQCU",5.6
"T06",31-JAN-08,"PO4P",0.153
"T06",31-JAN-08,"POTASSIUM",3.03
"T06",31-JAN-08,"SO4S",1.746
"T06",31-JAN-08,"SODIUM",3.031
"T08",31-JAN-08,"CONDY",53.9
"T08",31-JAN-08,"PH",5.39
"T08",31-JAN-08,"PHAQCS",4
"T08",31-JAN-08,"PHAQCU",4.05
"T06",31-JAN-08,"ALUMINIUM",0.295
"T06",31-JAN-08,"CALCIUM",3.511
"T06",31-JAN-08,"CHLORIDE",10.17
"T06",31-JAN-08,"CONDY",57.3
"T06",31-JAN-08,"MAGNESIUM",2.001
"T02",06-FEB-08,"ALKY",0
"T09",06-FEB-08,"TOTALN",1.44
"T02",06-FEB-08,"CALCIUM",3.64
"T02",06-FEB-08,"CHLORIDE",9.61
"T02",06-FEB-08,"CONDY",57.1
"T02",06-FEB-08,"DOC",0.25
"T02",06-FEB-08,"IRON",0.38
"T02",06-FEB-08,"MAGNESIUM",2.09
"T02",06-FEB-08,"NH4N",0.652
"T02",06-FEB-08,"NO3N",0.592
"T02",06-FEB-08,"PH",5.6
"T02",06-FEB-08,"PO4P",0.147
"T02",06-FEB-08,"POTASSIUM",3.12
