UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,SITETYPE,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,INDEX_VISIT,ANC,DOC,PH,NTL,PTL,NtoP
1002177,ALR9-0904,2013,1,6/25/2013,PROB,AL,33.41281268,-86.75189942,Southern Appalachians,Y,1339.83,2.22,7.85,629,76,8.276315789
1002178,KSRF-0002,2013,1,6/26/2013,HAND,KS,37.78673,-96.43022,Temperate Plains,Y,4648.75,1.67,8.08,393,88,4.465909091
1002179,WALS-1070,2013,1,6/25/2013,PROB,WA,47.09141,-120.3099,Xeric,Y,1221.75,1.42,8.07,75,161,0.465838509
1002180,PARM-1002,2013,1,6/26/2013,PROB,PA,41.06235,-76.85619,Southern Appalachians,Y,489.3,0.98,7.61,505,17,29.70588235
1002181,UTSS-1107,2013,1,6/26/2013,PROB,UT,37.43042,-112.3516,Western Mountains,Y,4708.19,0.75,8.37,93,22,4.227272727
1002182,OHSS-1124,2013,1,6/26/2013,PROB,OH,40.31965,-84.63034,Temperate Plains,Y,2102.32,8.42,7.94,20563,441,46.62811791
1002183,MTS9-0941,2013,1,6/26/2013,PROB,MT,47.72172,-112.4911,Northern Plains,Y,3476.69,0.73,8.34,51,24,2.125
1002184,NDSS-1105,2013,1,6/26/2013,PROB,ND,45.98051,-102.8498,Northern Plains,Y,5330.21,15.13,8.25,1233,195,6.323076923
1002185,MDR9-0905,2013,1,6/26/2013,PROB,MD,39.62421,-78.42927,Southern Appalachians,Y,1410.91,3.19,8.09,489,33,14.81818182
1002186,TXR9-0903,2013,1,6/26/2013,PROB,TX,33.05566,-97.25306,Southern Plains,Y,2500.53,5.95,8.35,1146,195,5.876923077
1002187,WIRF-0002,2013,1,6/26/2013,HAND,WI,45.48286,-91.25274,Upper Midwest,Y,560.97,16.74,7.56,878,69,12.72463768
1002188,ORR9-0912,2013,1,6/26/2013,PROB,OR,45.48478,-122.9599,Western Mountains,Y,832.19,1.81,7.76,508,133,3.819548872
1002189,NVS9-0926,2013,1,6/26/2013,PROB,NV,41.8773,-115.6285,Xeric,Y,1015.21,1.38,8.07,136,71,1.915492958
1002190,OHS9-0920,2013,1,6/26/2013,PROB,OH,41.79621,-80.91776,Northern Appalachians,Y,1526.53,8.42,7.99,1041,115,9.052173913
1002191,OKR9-0908,2013,1,6/26/2013,PROB,OK,35.92491,-97.86391,Southern Plains,Y,3976.66,6.96,8.53,1358,223,6.089686099
1002192,OKR9-0911,2013,1,6/26/2013,PROB,OK,34.22208,-96.70688,Southern Plains,Y,3405.13,4.88,8.53,755,194,3.891752577
1002193,SDSS-1191,2013,1,6/26/2013,PROB,SD,43.98931,-103.7802,Western Mountains,Y,2247.09,5.02,7.97,365,75,4.866666667
1002194,KYSS-1080,2013,1,6/26/2013,PROB,KY,38.68525,-85.24408,Southern Appalachians,Y,4369.36,2.67,8.39,620,164,3.780487805
1002204,VTS9-0917,2013,1,6/26/2013,PROB,VT,44.62931,-72.03325,Northern Appalachians,Y,1164.66,3.77,7.98,350,25,14
1002205,VARF-0004,2013,1,6/26/2013,HAND,VA,38.17742,-79.37615,Southern Appalachians,Y,212.45,0.87,6.95,271,22,12.31818182
1002206,MNS9-0932,2013,1,6/26/2013,PROB,MN,48.65556,-94.98697,Upper Midwest,Y,2184.14,44.42,7.61,2343,227,10.3215859
1002207,TXS9-0940,2013,1,6/27/2013,PROB,TX,32.49662,-97.35227,Southern Plains,Y,784.33,6.65,7.38,15775,4519,3.490816552
1002208,MDRM-1004,2013,1,6/27/2013,PROB,MD,39.31512,-77.65539,Southern Appalachians,Y,2559.14,2.45,8.32,1469,64,22.953125
1002209,LAR9-0915,2013,1,6/26/2013,PROB,LA,30.32848,-90.84382,Coastal Plains,Y,551.7,4.05,7.73,988,218,4.532110092
1002210,COLS-1060,2013,1,6/26/2013,PROB,CO,39.16392,-107.8062,Western Mountains,Y,892.22,3.25,8.04,138,63,2.19047619
1002211,MTLS-1140,2013,1,6/27/2013,PROB,MT,47.74657,-112.3342,Northern Plains,Y,7741.66,8.51,8.39,640,71,9.014084507
1002212,ALS9-0919,2013,1,6/27/2013,PROB,AL,32.91383014,-87.5326477,Coastal Plains,Y,276.92,3.74,6.85,503,63,7.984126984
1002213,COS9-0928,2013,1,6/27/2013,PROB,CO,39.80551,-108.6538,Xeric,Y,7142.23,5.36,8.52,410,69,5.942028986
1002214,KSRF-0003,2013,1,6/27/2013,HAND,KS,38.49227,-96.58311,Temperate Plains,Y,5826.52,1.17,8.04,104,59,1.762711864
1002215,COLS-1064,2013,1,6/25/2013,PROB,CO,38.93422,-107.3195,Western Mountains,Y,605.27,1.34,7.8,125,25,5
1002216,MIS9-0934,2013,1,6/25/2013,PROB,MI,42.54559,-83.31093,Upper Midwest,Y,1637.31,5.75,8.03,1079,119,9.067226891
1002217,UTR9-0904,2013,1,6/27/2013,PROB,UT,37.74306,-112.0986,Western Mountains,Y,5363.55,0.8,8.28,95,18,5.277777778
