LAT_DD83	LON_DD83
45.2973	-93.5721
42.9135	-94.0575
45.9094	-111.5669
37.8523	-97.9418
37.1021	-81.0427
42.7934	-72.5248
41.0283	-83.2129
34.9225	-99.1112
34.8393	-98.3060
41.5165	-90.3062
40.6879	-93.9683
45.2343	-93.4964
43.1377	-76.2955
42.4741	-73.7870
39.9052	-121.0466
35.3236	-103.9811
41.0154	-108.8274
38.1874	-112.0947
37.1593	-82.1661
44.4891	-73.1483
39.1362	-84.3421
36.6064	-85.5050
39.0975	-94.3517
41.4859	-89.8485
43.7194	-95.0462
45.5973	-109.3116
45.7641	-100.6831
46.7739	-102.4275
41.5963	-109.1488
38.3333	-112.1854
42.2165	-88.1889
43.7648	-94.0407
45.9129	-108.4088
42.1614	-75.8568
42.9356	-74.1944
45.5632	-101.5487
36.2216	-103.8507
35.5492	-86.9524
43.9067	-94.0603
42.0290	-76.3983
46.8942	-103.5408
36.7974	-104.8783
34.9861	-93.6035
43.2519	-73.8352
35.0690	-86.9614
41.9000	-89.4821
41.1520	-87.9142
44.0415	-92.3387
35.7838	-89.7631
43.2310	-74.1865
46.2535	-103.9119
36.5884	-103.3148
36.1997	-86.6729
44.3165	-123.2186
32.4096	-90.9959
46.6854	-114.5590
36.2461	-89.6404
42.8285	-73.9893
35.9510	-103.6974
39.5542	-99.7442
40.5813	-81.3951
35.6724	-87.2633
44.0655	-123.1063
44.8513	-93.9828
31.3645	-91.4796
48.0050	-116.0017
36.0218	-89.6935
42.4230	-75.6322
43.2487	-73.7408
32.7498	-105.9117
43.9656	-106.1714
37.1594	-80.8578
35.7615	-87.4986
39.2199	-91.9212
35.6901	-95.1656
38.6046	-106.4649
42.8046	-91.5305
45.1248	-93.9962
31.2635	-91.6039
47.8371	-114.7377
36.0730	-89.6802
43.2555	-73.5864
43.4925	-106.6606
46.8304	-96.7872
44.4219	-73.0154
35.9016	-87.8431
44.3401	-93.9394
36.1699	-89.6106
42.1460	-77.0541
42.1149	-104.9852
37.2396	-79.4491
44.3182	-72.7269
36.3197	-87.6749
45.1924	-94.2896
42.8598	-77.8433
42.7413	-76.4744
43.7930	-72.6763
42.4949	-89.2656
43.3045	-76.3977
39.2880	-97.4113
43.7975	-72.5009
44.2593	-75.7674
42.3478	-75.6964
39.4952	-97.2319
43.6598	-72.3397
40.7851	-90.1389
40.1538	-89.6755
41.3796	-94.8979
44.2978	-75.3597
40.0632	-90.3073
42.9300	-72.6099
42.2185	-92.7424
39.1470	-91.3922
28.3021	-98.0582
42.9936	-95.0785
42.4044	-95.8735
42.3316	-83.0043
43.1385	-91.6084
30.5749	-91.3124
30.5057	-91.2591
30.2671	-91.1217
30.7423	-91.3627
30.7551	-91.5955
30.8367	-91.5237
30.0469	-90.5400
29.9978	-90.4613
30.0407	-90.6343
30.2090	-91.0420
30.1532	-90.9995
29.9810	-90.8205
29.8384	-89.9898
29.8732	-89.9043
29.9399	-90.0029
29.9211	-89.9279
34.2398	-112.0671
32.7114	-114.3204
32.8933	-109.7941
32.8710	-109.1981
32.7197	-109.0975
33.0210	-109.2997
31.5504	-97.0917
36.7924	-91.3311
38.8373	-110.1423
38.2323	-100.0291
36.7585	-92.1548
35.7909	-104.6117
36.6993	-107.9853
38.7140	-110.1003
39.6972	-94.8807
38.3528	-109.7535
31.1590	-85.0789
30.8178	-84.1254
31.2156	-84.4709
36.7079	-108.2114
36.0663	-104.3705
33.2940	-109.4947
37.0671	-99.5589
41.3785	-95.2244
36.6970	-101.6768
33.5975	-104.3638
33.4146	-104.4566
47.0967	-101.8017
48.1432	-112.1246
33.6759	-109.0841
34.6760	-92.6640
37.1203	-98.9849
37.1489	-91.4450
37.3346	-91.4761
39.1539	-91.6259
36.9649	-100.1811
34.4439	-104.2347
34.7013	-93.7974
48.9227	-108.3844
48.2239	-105.5178
34.9220	-92.9532
39.4415	-91.5266
37.5056	-91.9813
33.0881	-109.4625
34.7501	-106.7425
34.0049	-104.3148
41.4752	-79.5179
39.1334	-110.9467
35.0698	-94.1883
33.1054	-109.2994
36.8691	-92.4703
32.9251	-105.3375
35.1680	-106.6581
43.5397	-108.8500
30.3524	-84.6859
34.4472	-106.8037
32.1417	-106.6993
33.2025	-108.2088
32.5190	-104.3145
32.6490	-108.8469
30.5241	-84.9735
32.4088	-111.1606
40.0941	-92.8348
41.1520	-96.5485
35.3916	-99.8819
35.2651	-105.3650
34.4249	-118.5571
37.0263	-112.9450
31.5624	-111.0460
31.0599	-88.8882
35.0949	-93.4227
39.0544	-95.4907
40.1166	-92.7621
41.1873	-96.5926
32.9881	-108.5709
34.3567	-119.0199
37.4918	-78.7565
37.2460	-111.9505
34.3116	-93.7567
29.9846	-85.0330
30.5797	-94.9979
47.2131	-101.6902
41.0492	-85.7204
40.1372	-85.2035
34.3771	-93.2028
39.9781	-91.7030
39.7114	-94.1573
42.9787	-117.7087
42.0693	-95.9195
40.6917	-97.1589
36.3400	-105.7311
33.3008	-108.1255
37.3643	-112.3426
36.5957	-78.9550
39.1873	-85.3494
40.7121	-86.8506
33.7579	-108.7624
37.5102	-112.0337
30.8694	-86.4894
