"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","DOC","NO3 as N","PO4 as P","UNITS"
"215",2012,"EU_1515","57.7281","-5.09997","Lake",4.3895,0.09560566908,0.0045,"mg/L"
"216",2012,"EU_1518","56.26692","-4.2856","Lake",4.2387,0.0740043882,0.005,"mg/L"
"217",2012,"EU_1519","57.15167","-4.59878","Lake",5.402,0.10120600116,0.0045,"mg/L"
"218",2010,"EU_1520","52.55969","10.29454","River/Stream",8.10476,3.813266113272,0.03787,"mg/L"
"219",2011,"EU_1520","52.55969","10.29454","River/Stream",6.1,2.93767419375,0.02725,"mg/L"
"220",2012,"EU_1520","52.55969","10.29454","River/Stream",6.89167,2.754333322281,0.029042,"mg/L"
"221",2012,"EU_1521","56.74865","-5.59782","Lake",3.9855,0.10240607232,0.0045,"mg/L"
"222",2012,"EU_1523","56.148","-3.33601","Lake",9.7627,0.59523529536,0.006,"mg/L"
"223",2012,"EU_1524","56.17972","-3.33864","Lake",5.1364,0.70934206149,0.0044,"mg/L"
"224",2010,"EU_1525","52.54416","10.16753","River/Stream",7.36364,4.108573623969,0.044667,"mg/L"
"225",2011,"EU_1525","52.54416","10.16753","River/Stream",5.9,3.6752179275,0.043667,"mg/L"
"226",2012,"EU_1525","52.54416","10.16753","River/Stream",6.49167,3.40020162,0.052917,"mg/L"
"227",2010,"EU_1526","52.50796","10.05424","River/Stream",7.81667,4.741951181031,0.02,"mg/L"
"228",2011,"EU_1526","52.50796","10.05424","River/Stream",7.79091,3.554750784222,0.02,"mg/L"
"229",2012,"EU_1526","52.50796","10.05424","River/Stream",6.64167,3.608543973969,0.02,"mg/L"
"230",2012,"EU_1527","56.22964","-4.26312","Lake",4.2329,0.08250489225,0.005,"mg/L"
"231",2010,"EU_1529","51.40599","9.93014","River/Stream",2.13333,7.650453645,0.0875,"mg/L"
"232",2011,"EU_1529","51.40599","9.93014","River/Stream",2.55,7.80046254,0.117917,"mg/L"
"233",2012,"EU_1529","51.40599","9.93014","River/Stream",2.15909,7.495894480185,0.128182,"mg/L"
"234",2010,"EU_1531","51.71352","10.00017","River/Stream",2.075,3.316866678531,0.050833,"mg/L"
"235",2011,"EU_1531","51.71352","10.00017","River/Stream",2.79167,3.033509876469,0.050833,"mg/L"
"236",2012,"EU_1531","51.71352","10.00017","River/Stream",1.96364,2.645606875185,0.053636,"mg/L"
"237",2010,"EU_1537","52.13589","9.76159","River/Stream",3.57083,4.141915601031,0.058333,"mg/L"
