"","DATE_COL","SITE_ID","LON","LAT","UNIT","ECO_TYPE","TROPHIC_STATE","VARIABLE","RESULT"
"117",2007-07-18,"NLA_NC-10001",-81.34573084,35.20132137,"mg/L","Lake","Oligotrophic","TP",0.0045
"118",2007-07-02,"NLA_DE-10001",-75.21503793,38.75601051,"mg/L","Lake","Eutrophic","DOC",4.12
"119",2007-07-02,"NLA_DE-10001",-75.21503793,38.75601051,"mg/L","Lake","Eutrophic","NO3 as N",0.005
"120",2007-07-02,"NLA_DE-10001",-75.21503793,38.75601051,"mg/L","Lake","Eutrophic","TP",0.247
"121",2007-09-11,"NLA_DE-10001",-75.21503793,38.75601051,"mg/L","Lake","Eutrophic","DOC",5.525
"122",2007-09-11,"NLA_DE-10001",-75.21503793,38.75601051,"mg/L","Lake","Eutrophic","NO3 as N",0.0025
"123",2007-09-11,"NLA_DE-10001",-75.21503793,38.75601051,"mg/L","Lake","Eutrophic","TP",0.1595
"124",2007-06-13,"NLA_OH-10003",-81.51745185,39.77645357,"mg/L","Lake","Eutrophic","DOC",3.83
"125",2007-06-13,"NLA_OH-10003",-81.51745185,39.77645357,"mg/L","Lake","Eutrophic","NO3 as N",0.005
"126",2007-06-13,"NLA_OH-10003",-81.51745185,39.77645357,"mg/L","Lake","Eutrophic","TP",0.032
"127",2007-09-05,"NLA_OH-10003",-81.51745185,39.77645357,"mg/L","Lake","Mesotrophic","DOC",3.99
"128",2007-09-05,"NLA_OH-10003",-81.51745185,39.77645357,"mg/L","Lake","Mesotrophic","NO3 as N",0.005
"129",2007-09-05,"NLA_OH-10003",-81.51745185,39.77645357,"mg/L","Lake","Mesotrophic","TP",0.024
"130",2007-07-17,"NLA_WA-10005",-121.2990598,47.31108363,"mg/L","Lake","Eutrophic","DOC",10.11
"131",2007-07-17,"NLA_WA-10005",-121.2990598,47.31108363,"mg/L","Lake","Eutrophic","NO3 as N",0.005
"132",2007-07-17,"NLA_WA-10005",-121.2990598,47.31108363,"mg/L","Lake","Eutrophic","TP",0.067
"133",2007-08-28,"NLA_WA-10005",-121.2990598,47.31108363,"mg/L","Lake","Eutrophic","DOC",10.72
"134",2007-08-28,"NLA_WA-10005",-121.2990598,47.31108363,"mg/L","Lake","Eutrophic","NO3 as N",0.0025
"135",2007-08-28,"NLA_WA-10005",-121.2990598,47.31108363,"mg/L","Lake","Eutrophic","TP",0.033
"136",2007-07-12,"NLA_IL-10003",-88.32737922,37.47735404,"mg/L","Lake","Oligotrophic","DOC",4.07
"137",2007-07-12,"NLA_IL-10003",-88.32737922,37.47735404,"mg/L","Lake","Oligotrophic","NO3 as N",0.005
"138",2007-07-12,"NLA_IL-10003",-88.32737922,37.47735404,"mg/L","Lake","Oligotrophic","TP",0.008
"139",2007-07-16,"NLA_IL-10003",-88.32737922,37.47735404,"mg/L","Lake","Oligotrophic","DOC",4.58
"140",2007-07-16,"NLA_IL-10003",-88.32737922,37.47735404,"mg/L","Lake","Oligotrophic","NO3 as N",0.0025
"141",2007-07-16,"NLA_IL-10003",-88.32737922,37.47735404,"mg/L","Lake","Oligotrophic","TP",0.009
"142",2007-07-13,"NLA_CT-10002",-73.36398551,41.69699293,"mg/L","Lake","Mesotrophic","DOC",3.38
"143",2007-07-13,"NLA_CT-10002",-73.36398551,41.69699293,"mg/L","Lake","Mesotrophic","NO3 as N",0.005
"144",2007-07-13,"NLA_CT-10002",-73.36398551,41.69699293,"mg/L","Lake","Mesotrophic","TP",0.014
"145",2007-09-05,"NLA_CT-10002",-73.36398551,41.69699293,"mg/L","Lake","Mesotrophic","DOC",3.225
