Master_Site,Site_Code,Date,Rep,CaQual,Ca,MgQual,Mg,NaQual,Na,KQual,K,SO4Qual,SO4,ClQual,Cl,NO3Qual,NO3,NH4Qual,NH4,NO2Qual,NO2,DOCQual,DOC,pHQual,pH,AlkalinityQual,Alkalinity,AlQual,Al,Total_NQual,Total_N,TONQual,TON,PO4_PQual,PO4_P,ConductivityQual,Conductivity,SiQual,Si,FeQual,Fe,POMQual,POM,POCQual,POC,SalinityQual,Salinity,FQual,F,BrQual,Br,TDPQual,TDP,LiQual,Li,BeQual,Be,Al27Qual,Al27,ScQual,Sc,VQual,V,CrQual,Cr,MnQual,Mn,Fe57Qual,Fe57,Ni58Qual,Ni58,CoQual,Co,Ni60Qual,Ni60,CuQual,Cu,ZnQual,Zn,AsQual,As,SeQual,Se,RbQual,Rb,SrQual,Sr,MoQual,Mo,CdQual,Cd,SbQual,Sb,CsQual,Cs,BaQual,Ba,PbQual,Pb,UQual,U,BQual,B,SQual,S,LaQual,La,CeQual,Ce,PrQual,Pr,WQual,W,TiQual,Ti,SnQual,Sn
Llyn Conwy Outflow,CC13,06-Mar-09,1,,30.25,,35.75,,140,,4.872,,33.75,,168.732,,5.714,,1.214,<,0.005,,4.13,,5.29,,-8.2,,61,,0.36,,,<,0.005,,29,,0.22,,121,,,,,,,<,0.01,,0.011,<,0.005,,0.229,,0.006,,62.8,<,0.05,<,0.02,<,0.04,,27.3,,117,,0.246,,0.082,,0.257,,22.2,,16.5,,0.455,,0.102,,0.262,,2.88,<,0.03,,0.041,,0.041,,0.003,,2.39,,0.536,,0.003,,3.56,,0.547,,0.134,,0.216,,0.036,<,0.01,,0.119,<,0.006
Llyn Conwy Outflow,CC13,02-Apr-09,1,,29.75,,35.75,,136.087,,4.077,,32.5,,161.972,,8.143,,1,<,0.005,,3.74,,5.32,,-5.2,,59,,0.27,,,<,0.005,,29.1,,0.198,,116,,1.6,,0.8,,,,0.012,,0.013,<,0.005,,0.204,,0.014,,64.3,<,0.05,,0.047,<,0.04,,24.7,,105,,0.251,,0.074,,0.191,,0.284,,12.6,,0.427,,0.144,,0.244,,2.69,<,0.03,,0.035,,0.014,,0.002,,1.94,,0.203,<,0.002,,3.36,,0.549,,0.113,,0.195,,0.032,<,0.01,,0.136,<,0.006
Llyn Conwy Outflow,CC13,07-May-09,1,,28.55,,34.417,,133.043,,3.923,,33.125,,166.761,,8.571,,1.429,<,0.005,,4.33,,5.13,,-8.4,,56,,0.26,,,<,0.005,,30.2,,0.17,,121,,1.2,,0.6,,,,0.013,,0.012,,0.012,,0.222,,0.007,,64.2,<,0.05,,0.076,,0.111,,24.6,,123,,0.322,,0.106,,0.207,,0.538,,20.3,,0.52,,0.148,,0.265,,2.88,<,0.03,,0.033,,0.018,,0.002,,3.9,,0.287,<,0.002,,3.4,,0.559,,0.112,,0.198,,0.033,<,0.01,,0.156,<,0.006
Llyn Conwy Outflow,CC13,10-Jun-09,1,,33.75,,36.583,,111.739,,4.718,,35,,159.155,,9.071,,1.786,<,0.005,,3.46,,5.37,,-9.2,,67,,0.26,,,<,0.005,,29.7,,0.155,,105,,,,,,,<,0.01,,0.013,<,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,,0.548,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,09-Jul-09,1,,32.75,,36.083,,136.957,,4.103,,35,,158.028,,7.5,,1.143,<,0.005,,4.41,,5.35,,-3.2,,62,,0.22,,,<,0.005,,29,,0.153,,116,,1.6,,0.8,,,<,0.01,,0.014,<,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,,0.55,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,05-Aug-09,1,,34.95,,35.917,,135.217,,3.846,,35,,155.211,,9.071,,1.143,<,0.005,,4.08,,5.42,,-1.4,,64,,0.25,,,<,0.005,,28.2,,0.192,,128,,0.8,,0.4,,,<,0.01,,0.012,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,0.544,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,10-Sep-09,1,,34.5,,35.833,,136.957,,4.359,,29.375,,140.845,,2.357,,2.857,,,,5,,5.47,,-4.8,,64,,0.28,,,,,,28.2,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,01-Oct-09,1,,34,,35.833,,133.913,,3.59,,31.25,,149.296,,4.571,,1.429,,,,4.5,,6.05,,-0.6,,68,,0.2,,,,,,28,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,05-Nov-09,1,,32,,35,,133.043,,4.359,,28.125,,152.113,,4.571,,1.429,,,,4.5,,5.18,,-9.2,,60,,0.19,,,,,,27.6,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,09-Dec-09,1,,26.75,,36.917,,140.435,,3.59,,32.5,,156.901,,9.143,,1.571,,,,4.38,,5.05,,-11.6,,64,,0.23,,,,,,29.4,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,03-Feb-10,1,,30.45,,35,,135.217,,4.103,,31.25,,153.521,,11.214,,1.857,,,,5,,5.27,,-3.22,,62,,0.23,,,,,,28.6,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,04-Mar-10,1,,32.55,,35.667,,135.652,,3.872,,31.25,,152.394,,10.643,,1.214,,,,5.17,,5.92,,-5.32,,64,,0.23,,,,,,28.1,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,06-Apr-10,1,,32.5,,35.833,,133.478,,3.846,,37.5,,160.563,,11.857,,1.429,,,,4,,5.41,,-3.86,,62,,0.2,,,,,,27.3,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,06-May-10,1,,33,,36.667,,136.522,,3.846,,38.75,,160.563,,8.214,,1.429,,,,5.2,,6.55,,69.5,,69,,0.18,,,,,,29.8,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,02-Jun-10,1,,33.5,,35.833,,135.652,,4.615,,27.5,,157.746,,7.357,,1.429,,,,4.3,,5.82,,2.45,,48,,0.18,,,,,,27.3,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,02-Jul-10,1,,31.5,,35,,132.174,,4.103,,29.375,,160.563,,6.143,,1.429,,,,3.9,,5.45,,5.04,,46,,0.18,,,,,,27.7,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,04-Aug-10,1,,33.1,,34.333,,120,,3.564,,29.375,,137.746,,4.429,,1.571,,,,6.64,,5.1,,-5,,74,,0.21,,,,0,,26.6,,0.228,,188,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,0.508,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,07-Sep-10,1,,33.05,,34.083,,125.652,,3.923,,33.125,,141.972,,7.571,,2.857,,,,4.33,,5.52,,4.62,,56,,0.22,,,,0.003,,26.6,,0.226,,75,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,,0.513,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,04-Oct-10,1,,33.35,,32.75,,120.87,,4.41,,31.875,,146.479,,8.786,,2.5,,,,5.51,,5.39,,0.35,,61,,0.27,,,,0.01,,26.6,,0.223,,124,,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,0.496,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,09-Dec-10,1,,39.8,,40.833,,150.435,,4.487,,42.5,,189.014,,10,,1.5,,,,5.01,,5.35,,-5,,72,,0.25,,,<,0.005,,,,0.293,,136,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,,0.602,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,07-Jan-11,1,,33.25,,34.417,,126.087,,3.769,,33.125,,149.577,,5,,1.571,,,,4.8,,5.67,,-6,,61,,0.24,,,<,0.005,,26.3,,0.259,,122,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,,0.516,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,09-Feb-11,1,,30.65,,34.667,,126.957,,5.128,,29.375,,151.549,,10.929,,1.143,,,,4.26,,5.34,,-10.8,,65,,0.2,,,,,,27,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Conwy Outflow,CC13,08-Mar-11,1,,34.8,,34.75,,129.13,,5.333,,30,,150.704,,10.214,,1.857,,,,4,,5.63,,-4.2,,54,,0.21,,,,,,28.4,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Mymbyr stream 3,CC70,03-Sep-08,1,,56,,48.083,,173.913,,9.487,,35.625,,226.197,,4.286,,2.286,,,,3.33,,5.79,,8.6,,43,,0.3,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Mymbyr stream 3,CC70,10-Dec-08,1,,44.8,,37.417,,136.957,,2.462,,43.75,,158.028,,13.429,,2.429,,,,0.91,,5.98,,9.2,<,2,,0.32,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Mymbyr stream 3,CC70,06-Mar-09,1,,45.95,,38,,143.478,,2.256,,55.625,,150.423,,15.429,<,0.714,<,0.005,,0.96,,6.01,,11.4,<,2,,0.29,,,<,0.005,,29.1,,0.607,,4,,,,,,,,0.019,,0.012,,0.011,,0.349,,0.008,,6.63,,0.098,<,0.02,<,0.04,,1.59,<,1,,0.679,,0.035,,0.733,,29.2,,9.79,,0.091,,0.074,,0.112,,3.29,<,0.03,,0.015,,0.015,<,0.002,,1.39,,0.062,<,0.002,,2.6,,0.903,,0.047,,0.029,,0.012,<,0.01,,0.05,<,0.006
Llyn Mymbyr stream 3,CC70,10-Jun-09,1,,51.5,,35,,126.087,,0.282,,55.625,,123.662,,9.571,<,0.714,<,0.005,,0.78,,6.21,,24,,8,,0.17,,,<,0.005,,27.5,,0.655,<,1,,,,,,,,0.017,,0.023,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,0.846,,,,,,,,,,,,
Llyn Mymbyr stream 3,CC70,10-Sep-09,1,,35.5,,29.167,,106.087,,0.769,,39.375,,92.958,<,0.714,,1.429,,,,1.8,,6.82,,22.4,,20,,0.1,,,,,,22.3,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Mymbyr stream 3,CC70,09-Dec-09,1,,53.5,,44.833,,163.478,,2.718,,41.875,,196.62,,16,,0.929,,,,0.98,,5.85,,3.65,,21,,0.21,,,,,,33,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Mymbyr stream 3,CC70,04-Mar-10,1,,55,,40.833,,149.13,,1.692,,56.25,,156.056,,13.929,,4.929,,,,0.9,,6.53,,20.4,,4,,0.28,,,,,,32.3,,,<,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llyn Mymbyr stream 3,CC70,02-Jun-10,1,,53,,39.167,,143.478,,2.564,,70,,129.577,,17.357,,1.429,,,,1.6,,6.11,,23.7,<,33,,0.29,,,,,,31,,,<,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,03-Sep-08,1,,168.5,,59.25,,197.391,,15.846,,48.75,,214.366,,6.5,,1.143,,,,9.74,,6.41,,112,,130,,0.56,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,10-Dec-08,1,,148,,60.083,,208.261,,8.744,,68.75,,251.831,,24.929,,1.571,,,,2.97,,6.53,,85.2,,38,,0.53,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,06-Mar-09,1,,160,,64.417,,218.696,,8.564,,82.5,,265.07,,26.357,<,0.714,<,0.005,,2.58,,6.45,,87.6,,28,,0.56,,,<,0.005,,56.9,,0.812,,18,,,,,,,,0.028,,0.02,,0.021,,0.608,,0.014,,27.9,,0.187,,0.058,,0.071,,7.62,,15.4,,0.751,,0.123,,0.733,,39.6,,10.7,,0.377,,0.113,,0.376,,7.44,<,0.03,,0.016,,0.019,<,0.002,,2.49,,0.211,,0.003,,4.73,,1.36,,0.069,,0.063,,0.017,<,0.01,,0.189,<,0.006
Machno at Roman Bridge EA25010,CC90,10-Jun-09,1,,222.5,,77.583,,244.783,,11.872,,86.875,,275.211,,33.857,,2.786,<,0.005,,2.11,,6.61,,152,,21,,0.56,,,<,0.005,,65,,0.837,,16,,,,,,,,0.025,,0.022,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,,1.46,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,10-Sep-09,1,,164.5,,65.833,,210,,7.692,,78.125,,225.352,,21.857,,2.143,,,,3.7,,6.78,,108,,60,,0.48,,,,,,50.6,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,09-Dec-09,1,,155,,66.917,,220.87,,9.41,,66.25,,265.352,,29.071,,1.571,,,,2.23,,6.82,,66.7,,44,,0.48,,,,,,54.9,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,04-Mar-10,1,,187,,70.25,,243.043,,9.128,,85.625,,274.648,,32.5,,2,,,,1.71,,6.85,,76.9,,22,,0.53,,,,,,61.5,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,02-Jun-10,1,,210.5,,73.333,,249.13,,14.615,,90.625,,276.056,,28.214,,4.286,,,,2,,6.56,,147,<,33,,0.59,,,,,,65,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,07-Sep-10,1,,197.5,,70.5,,221.739,,11.385,,91.25,,247.887,,30.714,,1.357,,,,2.7,,6.37,,6.83,,26,,0.49,,,,0,,60.2,,0.752,,40,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,,1.34,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,04-Oct-10,1,,138,,53.5,,175.217,,6.564,,67.5,,182.817,,20.214,,1.857,,,,5.54,,6.45,,4.23,,94,,0.41,,,,0.005,,43.8,,0.946,,119,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,,1.07,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,09-Dec-10,1,,226,,78.583,,256.522,,10.821,,95,,292.958,,40.786,,0.786,,,,1.39,,7,,158,<,33,,0.56,,,,0.007,,65.3,,1.28,,13,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,,1.5,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,07-Jan-11,1,,176.5,,69.25,,231.739,,9.692,,78.125,,268.732,,31.071,,1.357,,,,2.28,,6.76,,96,,41,,0.57,,,<,0.005,,57.5,,1.09,,35,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,,1.36,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,09-Feb-11,1,,172.5,,72.583,,246.522,,13.615,,69.375,,307.042,,31.429,,2.571,,,,1.98,,6.61,,71.4,,111,,0.57,,,,,,59,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machno at Roman Bridge EA25010,CC90,08-Mar-11,1,,215,,77.25,,250,,11.795,,86.25,,287.324,,38.214,,0.929,,,,1.2,,6.84,,130,<,33,,0.57,,,,,,64.2,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,03-Sep-08,1,,1010,,285,,391.304,,87.692,,168.75,,400,,98.571,,1.929,,,,8.17,,7.23,,952,,32,,2.2,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,10-Dec-08,1,,860,,247.5,,355.217,,82.564,,177.5,,416.901,,155.714,,3.857,,,,3.53,,7.13,,840,,5,,2.7,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,06-Mar-09,1,,950,,307.5,,469.565,,97.179,,192.5,,580.282,,174.286,<,0.714,<,0.005,,3.71,,7.34,,876,<,2,,2.79,,,,0.034,,192,,2.28,,65,,,,,,,,0.048,,0.058,,0.059,,0.585,,0.006,,8.76,,0.573,,0.138,,0.165,,0.234,,48.9,,0.636,,0.045,,0.542,,22,,5.79,,0.366,,0.326,,1.73,,42.9,,0.075,,0.003,,0.034,,0.002,,9.61,,0.163,,0.026,,11.2,,3.37,,0.013,,0.004,,0.006,<,0.01,,0.653,<,0.006
Maenan,CC60,10-Jun-09,1,,1015,,366.667,,434.783,,72.308,,231.25,,515.493,,135,,0.857,,0.009,,2.81,,7.49,,1060,,6,,1.97,,,,0.039,,203,,2.51,,47,,,,,,,,0.055,,0.051,,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,3.91,,,,,,,,,,,,
Maenan,CC60,10-Sep-09,1,,1040,,310.833,,412.609,,66.154,,215,,422.535,,148.571,,1.429,,,,6,,7.69,,1050,,20,,2.2,,,,,,187.6,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,09-Dec-09,1,,760,,213.333,,334.783,,66.41,,156.25,,394.366,,150,,0.929,,,,3.78,,6.88,,580,,23,,2.2,,,,,,146.9,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,04-Mar-10,1,,915,,292.5,,425.217,,61.282,,193.75,,535.211,,173.571,,2.857,,,,2.29,,7.42,,900,,13,,2.6,,,,,,179.2,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,02-Jun-10,1,,1115,,400,,504.348,,118.462,,243.125,,619.718,,95.714,,1.429,,,,4.1,,7.46,,1170,<,33,,1.6,,,,,,223,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,07-Sep-10,1,,1045,,373.333,,456.522,,92.051,,278.125,,540.845,,111.429,,1.429,,,,4.11,,7.17,,75.3,,10,,1.9,,,,0.049,,209,,2.49,,45,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,4.43,,,,,,,,,,,,
Maenan,CC60,04-Oct-10,1,,850,,237.5,,380.87,,75.897,,0,,428.169,,165,,4.357,,,,6.04,,7.17,,41.3,,21,,2.7,,,,0.023,,166.2,,2.25,,78,,,,,,,,,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,3.49,,,,,,,,,,,,
Maenan,CC60,09-Dec-10,1,,945,,309.167,,504.348,,61.282,,200,,574.648,,175.714,,1,,,,2.85,,7.63,,764,<,33,,2.9,,,,0.01,,185.6,,2.44,,23,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,3.76,,,,,,,,,,,,
Maenan,CC60,07-Jan-11,1,,900,,289.167,,504.348,,66.667,,197.5,,622.535,,202.143,,0.857,,,,3.01,,7.54,,678,<,33,,3.5,,,,0.008,,187,,2.28,,25,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,3.62,,,,,,,,,,,,
Maenan,CC60,09-Feb-11,1,,805,,235.833,,418.696,,72.308,,158.75,,552.113,,268.571,,2.571,,,,3.38,,7.28,,478,<,33,,4.3,,,,,,164.8,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maenan,CC60,08-Mar-11,1,,950,,315,,443.478,,94.615,,192.5,,577.465,,247.857,,5.357,,,,2.44,,7.57,,713,<,33,,3.4,,,,,,186.7,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melin Plas-yn-Rhos,CC64,03-Sep-08,1,,815,,158.333,,326.522,,28.205,,81.875,,335.211,,32.071,,1.643,,,,11.2,,7.07,,724,,66,,1.1,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melin Plas-yn-Rhos,CC64,10-Dec-08,1,,630,,134.167,,348.696,,27.436,,100.625,,380.282,,77.143,,1,,,,3.87,,7.12,,583,,9,,1.4,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melin Plas-yn-Rhos,CC64,06-Mar-09,1,,795,,187.5,,395.217,,21.692,,126.25,,467.606,,74.286,<,0.714,<,0.005,,3.61,,7.36,,697,,9,,1.21,,,<,0.005,,147.2,,1.9,,70,,,,,,,,0.03,,0.028,,0.013,,0.58,,0.015,,15.7,,0.451,,0.111,,0.159,,0.791,,50.9,,0.491,,0.023,,0.389,,30.1,,6.64,,0.388,,0.22,,0.473,,23.2,,0.05,,0.006,,0.022,<,0.002,,4.68,,0.159,,0.026,,5.53,,2.26,,0.017,,0.003,,0.006,<,0.01,,0.455,<,0.006
Melin Plas-yn-Rhos,CC64,10-Jun-09,1,,845,,217.5,,416.087,,18.256,,128.125,,526.761,,48.071,,0.786,<,0.005,,3.44,,7.46,,813,,11,,0.79,,,<,0.005,,163.1,,1.85,,75,,,,,,,,0.032,,0.034,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,,2.27,,,,,,,,,,,,
Melin Plas-yn-Rhos,CC64,10-Sep-09,1,,870,,164.167,,403.043,,21.538,,112.5,,422.535,,52.643,,0.714,,,,6.7,,7.66,,812,,42,,1.1,,,,,,150,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melin Plas-yn-Rhos,CC64,09-Dec-09,1,,570,,120,,295.217,,30.256,,91.875,,354.93,,92.143,,1.643,,,,3.76,,6.93,,855,,40,,1.4,,,,,,116.8,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melin Plas-yn-Rhos,CC64,04-Mar-10,1,,770,,180.833,,482.609,,21.231,,117.5,,608.451,,87.143,,1.786,,,,2.76,,7.21,,597,,21,,1.4,,,,,,157.7,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melin Plas-yn-Rhos,CC64,02-Jun-10,1,,890,,250,,478.261,,22.821,,136.875,,591.549,,34.071,,2.143,,,,4.4,,7.35,,828,<,33,,0.66,,,,,,173.5,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merddwr at Pont Newydd EA25013,CC19,03-Jun-08,1,,469.5,,229.167,,388.261,,27.692,,131.875,,405.634,,90.714,,4.643,,,,3.56,,7.04,,471,,14,,1.4,,,,,,,,,,100,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
