"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","VARIABLE","UNIT","RESULT","TROPHIC_STATE"
"81","2019-05-07T07:50:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.5120306385813,NA
"82","2019-07-18T08:10:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.37715427524769,NA
"83","2012-05-29T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"84","2012-06-28T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"85","2012-07-24T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.3,"Oligotrophic"
"86","2012-08-23T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"87","2012-09-19T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.2,"Oligotrophic"
"88","2012-10-18T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.2,"Oligotrophic"
"89","2012-11-14T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"90","2012-12-18T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"91","2013-01-22T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"92","2013-02-27T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"93","2013-03-27T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"94","2013-04-23T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"95","2013-05-28T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"96","2013-06-19T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"97","2013-07-17T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"98","2013-08-14T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"99","2013-09-24T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"100","2013-10-29T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.4,"Oligotrophic"
"101","2013-12-10T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"102","2014-01-22T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"103","2014-02-26T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
"104","2014-03-25T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.5,"Oligotrophic"
