"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
"109",38.59506,-75.31243,"LAGOS_141830","Lake",2000-07-20,"DOC",5,"mg/L"
"110",38.59506,-75.31243,"LAGOS_141830","Lake",2000-07-20,"turb_ntu",4,"ntu"
"111",38.59506,-75.31243,"LAGOS_141830","Lake",2000-07-20,"secchi_m",1.27,"m"
"112",38.59506,-75.31243,"LAGOS_141830","Lake",2000-07-20,"tss",6,"mg/L"
"113",38.6718,-75.18588,"LAGOS_142394","Lake",2001-05-16,"DOC",4,"mg/L"
"114",38.6718,-75.18588,"LAGOS_142394","Lake",2001-05-16,"turb_ntu",2,"ntu"
"115",38.6718,-75.18588,"LAGOS_142394","Lake",2001-05-16,"secchi_m",1.27,"m"
"116",38.6718,-75.18588,"LAGOS_142394","Lake",2001-05-16,"tss",4,"mg/L"
"117",32.89492,-87.78727,"LAGOS_248118","Lake",2002-08-20,"DOC",3.958,"mg/L"
"118",32.89492,-87.78727,"LAGOS_248118","Lake",2002-08-20,"turb_ntu",9.75,"ntu"
"119",32.89492,-87.78727,"LAGOS_248118","Lake",2002-08-20,"secchi_m",0.86,"m"
"120",32.89492,-87.78727,"LAGOS_248118","Lake",2002-08-20,"tss",14,"mg/L"
"121",34.14556,-94.09611,"LAGOS_409269","Lake",2012-05-22,"DOC",6.58,"mg/L"
"122",34.14556,-94.09611,"LAGOS_409269","Lake",2012-05-22,"turb_ntu",3.46,"ntu"
"123",34.14556,-94.09611,"LAGOS_409269","Lake",2012-05-22,"secchi_m",0.9906,"m"
"124",34.14556,-94.09611,"LAGOS_409269","Lake",2012-05-22,"tss",2.5,"mg/L"
"125",38.6718,-75.18588,"LAGOS_142394","Lake",2015-01-20,"DOC",4.4,"mg/L"
"126",38.6718,-75.18588,"LAGOS_142394","Lake",2015-01-20,"turb_ntu",2,"ntu"
"127",38.6718,-75.18588,"LAGOS_142394","Lake",2015-01-20,"secchi_m",0.8,"m"
"128",38.6718,-75.18588,"LAGOS_142394","Lake",2015-01-20,"tss",17,"mg/L"
"129",32.51853,-89.94125,"LAGOS_255758","Lake",2005-12-19,"DOC",8,"mg/L"
"130",32.51853,-89.94125,"LAGOS_255758","Lake",2005-12-19,"secchi_m",0.4,"m"
"131",38.59432,-75.29099,"LAGOS_142130","Lake",2015-03-11,"DOC",5.2,"mg/L"
"132",38.59432,-75.29099,"LAGOS_142130","Lake",2015-03-11,"turb_ntu",3,"ntu"
"133",38.59432,-75.29099,"LAGOS_142130","Lake",2015-03-11,"secchi_m",0.9,"m"
