"LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","DO",11.55,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","MAGNESIUM",7.58,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","pH",7.26,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","SULFATE",15.2,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","TEMP",8.21,"degc"
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","CALCIUM",2.71,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","CHLORIDE",2.45,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","SP_COND",51,"uS/cm"
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","DO",3.04,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","MAGNESIUM",1.84,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","pH",6.64,NA
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","SULFATE",2.14,"mgl"
34.95312,-93.16202,"LAGOS_391873","Lake","2011-09-07","TEMP",26.8,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","CALCIUM",7.51,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","CHLORIDE",16,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","SP_COND",107,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","DO",9.61,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","MAGNESIUM",3.06,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","pH",6.31,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","SULFATE",6.4,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-03-14","TEMP",13.49,"degc"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","CALCIUM",5.78,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","CHLORIDE",17,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","SP_COND",120,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","DO",8.09,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","MAGNESIUM",3.17,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","pH",6.67,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","SULFATE",4.4,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-10-24","TEMP",15.49,"degc"
36.307,-91.597,"LAGOS_52989","Lake","2013-10-08","CHLORIDE",2.52,"mgl"
36.307,-91.597,"LAGOS_52989","Lake","2013-10-08","DO",6.86,"mgl"
36.307,-91.597,"LAGOS_52989","Lake","2013-10-08","pH",7.97,NA
36.307,-91.597,"LAGOS_52989","Lake","2013-10-08","SULFATE",2.05,"mgl"
36.307,-91.597,"LAGOS_52989","Lake","2013-10-08","TEMP",23.3,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","CALCIUM",7.71,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","CHLORIDE",14,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","SP_COND",125,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","DO",6.82,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","MAGNESIUM",2.89,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","pH",6.03,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","SULFATE",3.3,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-04-24","TEMP",16.12,"degc"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","CALCIUM",8.03,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","CHLORIDE",20,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","SP_COND",318,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","DO",6.52,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","MAGNESIUM",6.58,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","pH",6.6,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","SULFATE",12,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2017-04-24","TEMP",16.5,"degc"
42.43916,-122.01224,"LAGOS_473584","Lake","2005-08-17","SP_COND",118,"uS/cm"
42.43916,-122.01224,"LAGOS_473584","Lake","2005-08-17","DO",9.5,"mgl"
42.43916,-122.01224,"LAGOS_473584","Lake","2005-08-17","pH",9.2,NA
42.43916,-122.01224,"LAGOS_473584","Lake","2005-08-17","TEMP",21.4,"degc"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","CALCIUM",6.8,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","CHLORIDE",17,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","SP_COND",204,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","DO",4.54,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","MAGNESIUM",4.44,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","pH",7.21,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","SULFATE",7.4,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-08-22","TEMP",29.33,"degc"
33.21906,-88.28606,"LAGOS_247437","Lake","2015-09-22","CHLORIDE",21.9,"mgl"
