SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NF02XA0001,2017-11-02 13:05, ,0.03,0.01,0.01,107930,µG/L,SELENIUM TOTAL,SÉLÉNIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.003,0.001,0.001,107904,µG/L,SILVER TOTAL,ARGENT TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.76,0.02,0.02,110266,MG/L,SODIUM TOTAL,SODIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,13.2,0.7,0.7,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NF02XA0001,2017-11-02 13:05, ,9.37,0.05,0.05,107932,µG/L,STRONTIUM TOTAL,STRONTIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.8,0.2,0.1,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NF02XA0001,2017-11-02 13:05, ,4.68,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE DE L'EAU (TERRAIN),P
NF02XA0001,2017-11-02 13:05, ,0.006,0.001,0.001,107934,µG/L,THALLIUM TOTAL,THALLIUM TOTAL,P
NF02XA0001,2017-11-02 13:05,<,0.005,0.005,0.005,107931,µG/L,TIN TOTAL,ÉTAIN TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.44,0.05,0.05,107933,µG/L,TITANIUM TOTAL,TITANE TOTAL,P
NF02XA0001,2017-11-02 13:05,<,0.001,0.001,0.001,107937,µG/L,TUNGSTEN TOTAL,TUNGSTÈNE TOTAL,P
NF02XA0001,2017-11-02 13:05, ,4.3,0.1,0.1,101168,NTU,TURBIDITY,TURBIDITÉ,P
NF02XA0001,2017-11-02 13:05, ,17.5,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NF02XA0001,2017-11-02 13:05, ,0.0347,0.0005,0.0005,107935,µG/L,URANIUM TOTAL,URANIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.08,0.01,0.01,107936,µG/L,VANADIUM TOTAL,VANADIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.103,0.001,0.001,107938,µG/L,YTTRIUM TOTAL,YTTRIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,10.9,0.2,0.2,107939,µG/L,ZINC TOTAL,ZINC TOTAL,P
NF02XA0001,2018-06-05 10:00, ,1.85,1,0.3,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NF02XA0001,2018-06-05 10:00, ,1.3,1,0.3,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NF02XA0001,2018-06-05 10:00, ,159,0.5,0.5,107905,µG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.006,0.001,0.001,107929,µG/L,ANTIMONY TOTAL,ANTIMOINE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.04,0.01,0.01,107906,µG/L,ARSENIC  TOTAL,ARSENIC  TOTAL,P
NF02XA0001,2018-06-05 10:00, ,3.78,0.05,0.05,107908,µG/L,BARIUM TOTAL,BARYUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.01,0.001,0.001,107909,µG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NF02XA0001,2018-06-05 10:00,<,0.001,0.001,0.001,107910,µG/L,BISMUTH TOTAL,BISMUTH TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.7,0.5,0.5,107907,µG/L,BORON TOTAL,BORE  TOTAL,P
NF02XA0001,2018-06-05 10:00,<,0.02,0.02,0.008,49193,MG/L,BROMINE DISSOLVED,BROME DISSOUS,P
NF02XA0001,2018-06-05 10:00, ,0.003,0.001,0.001,107911,µG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.41,0.11,0.03,49184,MG/L,CALCIUM DISSOLVED,CALCIUM DISSOUS,P
NF02XA0001,2018-06-05 10:00, ,7.92,0.25,0.25,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.742,0.001,0.001,107912,µG/L,CERIUM TOTAL,CÉRIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.008,0.001,0.001,107915,µG/L,CESIUM TOTAL,CÉSIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.1,0.2,0.1,49189,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NF02XA0001,2018-06-05 10:00, ,0.34,0.02,0.02,107914,µG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.165,0.002,0.002,107913,µG/L,COBALT TOTAL,COBALT TOTAL,P
NF02XA0001,2018-06-05 10:00, ,93,5,5,110707,HZN UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
NF02XA0001,2018-06-05 10:00, ,6.9,,,109027,µS/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NF02XA0001,2018-06-05 10:00, ,0.45,0.05,0.05,107916,µG/L,COPPER  TOTAL,CUIVRE TOTAL,P
NF02XA0001,2018-06-05 10:00,<,0.03,0.03,0.02,49192,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NF02XA0001,2018-06-05 10:00, ,0.02,0.03,0.01,49188,MG/L,FLUORIDE DISSOLVED,FLUORURE DISSOUS,P
NF02XA0001,2018-06-05 10:00, ,0.047,0.001,0.001,107918,µG/L,GALLIUM TOTAL,GALLIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,2.25,0.687,0.281,10602,MG/L,HARDNESS TOTAL (CALCD.) CACO3,DURETÉ TOTALE (CALC.) CACO3,P
NF02XA0001,2018-06-05 10:00, ,467,0.5,0.5,107917,µG/L,IRON TOTAL,FER TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.375,0.001,0.001,107919,µG/L,LANTHANUM TOTAL,LANTHANE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.071,0.005,0.005,107925,µG/L,LEAD TOTAL,PLOMB TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.11,0.01,0.01,107920,µG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.3,0.1,0.05,49185,MG/L,MAGNESIUM DISSOLVED,MAGNÉSIUM DISSOUS,P
NF02XA0001,2018-06-05 10:00, ,14.6,0.05,0.05,107921,µG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.025,0.005,0.005,107922,µG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.29,0.02,0.02,107924,µG/L,NICKEL  TOTAL,NICKEL  TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.01,0.002,0.002,107923,µG/L,NIOBIUM TOTAL,NIOBIUM TOTAL,P
NF02XA0001,2018-06-05 10:00,<,0.02,0.02,0.007,49190,MG/L,NITROGEN NITRITE,AZOTE NITRITES,P
NF02XA0001,2018-06-05 10:00, ,0.19,0.02,0.02,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,11.97,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NF02XA0001,2018-06-05 10:00, ,94.5,,,110003,% SAT,OXYGEN DISSOLVED % SATURATION,OXYGÈNE DISSOUS % SATURATION,P
NF02XA0001,2018-06-05 10:00, ,6.01,0,0,10301,PH,PH,PH,P
NF02XA0001,2018-06-05 10:00, ,5.73,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NF02XA0001,2018-06-05 10:00, ,0.013,0.002,0.002,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NF02XA0001,2018-06-05 10:00,<,0.001,0.001,0.001,107927,µG/L,PLATINUM TOTAL,PLATINE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.14,0.02,0.006,49187,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NF02XA0001,2018-06-05 10:00, ,0.496,0.001,0.001,107928,µG/L,RUBIDIUM TOTAL,RUBIDIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.01,0.01,0.01,107930,µG/L,SELENIUM TOTAL,SÉLÉNIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.001,0.001,0.001,107904,µG/L,SILVER TOTAL,ARGENT TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.34,0.06,0.005,49186,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NF02XA0001,2018-06-05 10:00, ,7.7,0.7,0.7,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NF02XA0001,2018-06-05 10:00, ,6.46,0.05,0.05,107932,µG/L,STRONTIUM TOTAL,STRONTIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.3,0.2,0.1,49191,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NF02XA0001,2018-06-05 10:00, ,6,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE DE L'EAU (TERRAIN),P
NF02XA0001,2018-06-05 10:00, ,0.002,0.001,0.001,107934,µG/L,THALLIUM TOTAL,THALLIUM TOTAL,P
NF02XA0001,2018-06-05 10:00,<,0.005,0.005,0.005,107931,µG/L,TIN TOTAL,ÉTAIN TOTAL,P
NF02XA0001,2018-06-05 10:00, ,4.64,0.05,0.05,107933,µG/L,TITANIUM TOTAL,TITANE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.004,0.001,0.001,107937,µG/L,TUNGSTEN TOTAL,TUNGSTÈNE TOTAL,P
NF02XA0001,2018-06-05 10:00, ,2.6,0.1,0.1,101168,NTU,TURBIDITY,TURBIDITÉ,P
NF02XA0001,2018-06-05 10:00, ,0,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NF02XA0001,2018-06-05 10:00, ,0.0216,0.0005,0.0005,107935,µG/L,URANIUM TOTAL,URANIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.51,0.01,0.01,107936,µG/L,VANADIUM TOTAL,VANADIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,0.149,0.001,0.001,107938,µG/L,YTTRIUM TOTAL,YTTRIUM TOTAL,P
NF02XA0001,2018-06-05 10:00, ,1,0.2,0.2,107939,µG/L,ZINC TOTAL,ZINC TOTAL,P
NF02XA0001,2018-07-10 09:50, ,3.74,1,0.3,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NF02XA0001,2018-07-10 09:50, ,3.19,1,0.3,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NF02XA0001,2018-07-10 09:50, ,98.4,0.5,0.5,107905,µG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.005,0.001,0.001,107929,µG/L,ANTIMONY TOTAL,ANTIMOINE TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.03,0.01,0.01,107906,µG/L,ARSENIC  TOTAL,ARSENIC  TOTAL,P
NF02XA0001,2018-07-10 09:50, ,3.54,0.05,0.05,107908,µG/L,BARIUM TOTAL,BARYUM TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.006,0.001,0.001,107909,µG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NF02XA0001,2018-07-10 09:50,<,0.001,0.001,0.001,107910,µG/L,BISMUTH TOTAL,BISMUTH TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.9,0.5,0.5,107907,µG/L,BORON TOTAL,BORE  TOTAL,P
NF02XA0001,2018-07-10 09:50,<,0.02,0.02,0.008,49193,MG/L,BROMINE DISSOLVED,BROME DISSOUS,P
NF02XA0001,2018-07-10 09:50, ,0.001,0.001,0.001,107911,µG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NF02XA0001,2018-07-10 09:50, ,1.32,0.11,0.03,49184,MG/L,CALCIUM DISSOLVED,CALCIUM DISSOUS,P
NF02XA0001,2018-07-10 09:50, ,5.71,0.25,0.25,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.479,0.001,0.001,107912,µG/L,CERIUM TOTAL,CÉRIUM TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.006,0.001,0.001,107915,µG/L,CESIUM TOTAL,CÉSIUM TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.2,0.2,0.1,49189,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NF02XA0001,2018-07-10 09:50, ,0.33,0.02,0.02,107914,µG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NF02XA0001,2018-07-10 09:50, ,0.068,0.002,0.002,107913,µG/L,COBALT TOTAL,COBALT TOTAL,P
NF02XA0001,2018-07-10 09:50, ,61,5,5,110707,HZN UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
NF02XA0001,2018-07-10 09:50, ,10,,,109027,µS/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NF02XA0001,2018-07-10 09:50, ,0.38,0.05,0.05,107916,µG/L,COPPER  TOTAL,CUIVRE TOTAL,P
NF02XA0001,2018-07-10 09:50,<,0.03,0.03,0.02,49192,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
