"","DATE_COL","SITE_ID","DOC","TP","NO3 as N","UNITS","LAT","LON","ECO_TYPE"
"154",2000-05-03,"AL05BE0013",0.904,0.016,0.052,"mg/L",51.1228,-115.3867,"River/Stream"
"155",2000-05-03,"AL05DA0001",0.631,0.005,0.1,"mg/L",52.0028,-116.4719,"River/Stream"
"156",2000-05-03,"BC08EF0001",8.1,0.036,0.27,"mg/L",54.6344,-128.4092,"River/Stream"
"157",2000-05-03,"MA05OC0001",9.85,0.2,0.273,"mg/L",49.0081,-97.2108,"River/Stream"
"158",2000-05-08,"BC08NA0033",0.5,0.002,0.17,"mg/L",51.4192,-116.4378,"River/Stream"
"159",2000-05-08,"BC08NF0001",1.4,0.008,0.115,"mg/L",50.8856,-116.0431,"River/Stream"
"160",2000-05-08,"BC08NK0003",1.1,0.014,0.366,"mg/L",49.1797,-115.167,"River/Stream"
"161",2000-05-08,"YT10AA0001",6.6,0.054,0.026,"mg/L",60.0477,-128.9018,"River/Stream"
"162",2000-05-12,"NW06MA0001",3.8,0.014,0.008,"mg/L",64.7731,-97.0678,"River/Stream"
"163",2000-05-14,"BC08EF0001",6.5,0.07,0.253,"mg/L",54.6344,-128.4092,"River/Stream"
"164",2000-05-14,"YT09FB0003",0.5,0.007,0.157,"mg/L",67.58,-139.78,"River/Stream"
"165",2000-05-15,"BC08NB0002",1.3,0.052,0.417,"mg/L",51.3834,-117.4504,"River/Stream"
"166",2000-05-15,"BC08ND0003",1.3,0.008,0.466,"mg/L",51.2138,-117.6958,"River/Stream"
"167",2000-05-16,"SA05MD0002",12.4,0.157,0.01,"mg/L",51.5331,-101.8889,"River/Stream"
"168",2000-05-17,"AL05AK0001",2.77,0.024,0.01,"mg/L",50.7375,-110.0956,"River/Stream"
"169",2000-05-17,"AL05CK0001",4.49,0.086,0.01,"mg/L",50.9028,-110.2969,"River/Stream"
"170",2000-05-17,"MA05KH0001",4,0.044,0.103,"mg/L",53.8417,-101.3344,"River/Stream"
"171",2000-05-17,"SA05KH0002",10.9,0.057,0.01,"mg/L",53.6,-102.1167,"River/Stream"
"172",2000-05-17,"SA06EA0003",5.74,0.014,0.01,"mg/L",55.6081,-102.1956,"River/Stream"
"173",2000-05-17,"YT08AA0010",8.5,0.112,0.015,"mg/L",60.7478,-137.5036,"River/Stream"
"174",2000-05-18,"AL05EF0003",3.9,0.07,0.267,"mg/L",53.6014,-110.0083,"River/Stream"
"175",2000-05-18,"SA05FE0001",13.1,0.088,0.01,"mg/L",52.9403,-109.8733,"River/Stream"
"176",2000-05-23,"BC08NA0033",0.5,0.007,0.19,"mg/L",51.4192,-116.4378,"River/Stream"
"177",2000-05-23,"BC08NF0001",1.2,0.029,0.16,"mg/L",50.8856,-116.0431,"River/Stream"
"178",2000-05-23,"BC08NK0003",2,0.38,0.26,"mg/L",49.1797,-115.167,"River/Stream"
"179",2000-05-24,"MA05OB0001",8.77,0.159,0.01,"mg/L",49.0314,-98.2778,"River/Stream"
"180",2000-05-24,"YT10AA0001",4,0.036,0.025,"mg/L",60.0477,-128.9018,"River/Stream"
"181",2000-05-25,"NW10JC0001",4.2,0.004,0.127,"mg/L",65.1358,-123.5139,"River/Stream"
"182",2000-05-25,"US05NF0001",18.5,0.187,0.01,"mg/L",48.9997,-100.9,"River/Stream"
"183",2000-05-26,"AL07KC0001",6.56,0.238,0.062,"mg/L",59.1139,-112.4264,"River/Stream"
"184",2000-05-28,"YT09FB0003",27.4,0.185,0.011,"mg/L",67.58,-139.78,"River/Stream"
"185",2000-05-29,"AL07DD0001",11.5,0.202,0.01,"mg/L",58.1725,-111.3703,"River/Stream"
"186",2000-05-29,"BC08NB0002",1.6,0.013,0.387,"mg/L",51.3834,-117.4504,"River/Stream"
"187",2000-05-29,"BC08ND0003",1.3,0.007,0.391,"mg/L",51.2138,-117.6958,"River/Stream"
"188",2000-05-30,"BC08EF0001",4.7,0.031,0.145,"mg/L",54.6344,-128.4092,"River/Stream"
"189",2000-05-30,"NW07OB0002",21.2,0.361,0.045,"mg/L",60.0044,-116.9692,"River/Stream"
"190",2000-05-30,"YT08AA0010",6.6,0.127,0.006,"mg/L",60.7478,-137.5036,"River/Stream"
"191",2000-06-05,"BC08NF0001",0.7,0.055,0.137,"mg/L",50.8856,-116.0431,"River/Stream"
"192",2000-06-05,"BC08NK0003",1,0.042,0.226,"mg/L",49.1797,-115.167,"River/Stream"
"193",2000-06-06,"AL05BA0011",1.25,0.002,0.084,"mg/L",51.4433,-116.2117,"River/Stream"
"194",2000-06-06,"AL07AA0015",1.16,0.059,0.118,"mg/L",52.6644,-117.8808,"River/Stream"
"195",2000-06-06,"AL07AA0023",1.74,0.044,0.097,"mg/L",53.0417,-118.0872,"River/Stream"
"196",2000-06-06,"MA05PF0022",9.17,0.018,0.025,"mg/L",50.3008,-95.5556,"River/Stream"
"197",2000-06-07,"AL05BE0013",1.45,0.025,0.101,"mg/L",51.1228,-115.3867,"River/Stream"
"198",2000-06-07,"AL05DA0001",0.664,0.0485,0.136333333333333,"mg/L",52.0028,-116.4719,"River/Stream"
"199",2000-06-07,"MA05OC0001",9.79,0.209,0.028,"mg/L",49.0081,-97.2108,"River/Stream"
"200",2000-06-07,"SA05LC0001",16,0.024,0.01,"mg/L",52.8667,-102.1831,"River/Stream"
"201",2000-06-07,"SA05MD0002",14.5,0.299,0.01,"mg/L",51.5331,-101.8889,"River/Stream"
"202",2000-06-08,"MA05KH0001",5.45,0.054,0.01,"mg/L",53.8417,-101.3344,"River/Stream"
"203",2000-06-08,"SA05KH0002",13,0.085,0.01,"mg/L",53.6,-102.1167,"River/Stream"
"204",2000-06-12,"BC08EF0001",3.8,0.17,0.071,"mg/L",54.6344,-128.4092,"River/Stream"
"205",2000-06-12,"YT09FB0003",7.6,0.137,0.046,"mg/L",67.58,-139.78,"River/Stream"
"206",2000-06-12,"YT10AA0001",3.5,0.073,0.035,"mg/L",60.0477,-128.9018,"River/Stream"
"207",2000-06-12,"YT10MD0001",3.9,0.076,0.083,"mg/L",69.3264,-139.5672,"River/Stream"
"208",2000-06-13,"AL05AK0001",3.34,0.038,0.01,"mg/L",50.7375,-110.0956,"River/Stream"
"209",2000-06-13,"AL05CK0001",6.53,0.144,0.01,"mg/L",50.9028,-110.2969,"River/Stream"
"210",2000-06-13,"NW10PC0019",4.5,0.033,0.012,"mg/L",67.2289,-115.8881,"River/Stream"
"211",2000-06-13,"SA05JM0014",7.94,0.101,0.01,"mg/L",50.4839,-101.5431,"River/Stream"
"212",2000-06-14,"AL05EF0003",4.29,0.046,0.595,"mg/L",53.6014,-110.0083,"River/Stream"
"213",2000-06-14,"AL06AD0001",9.93,0.054,0.01,"mg/L",54.3542,-110.2119,"River/Stream"
"214",2000-06-14,"MA05OB0001",7.82,0.171,0.01,"mg/L",49.0314,-98.2778,"River/Stream"
"215",2000-06-14,"NW10MC0001",5,1.32,0.085,"mg/L",67.2206,-134.9456,"River/Stream"
"216",2000-06-14,"SA05FE0001",14.6,0.088,0.01,"mg/L",52.9403,-109.8733,"River/Stream"
"217",2000-06-14,"SA06AF0001",6.54,0.021,0.01,"mg/L",54.5667,-109.8361,"River/Stream"
"218",2000-06-15,"US05NF0001",21.6,1.76,0.028,"mg/L",48.9997,-100.9,"River/Stream"
"219",2000-06-17,"NW07RD0001",2.6,0.006,0.025,"mg/L",62.8889,-108.4719,"River/Stream"
"220",2000-06-19,"BC08NA0033",0.5,0.006,0.133,"mg/L",51.4192,-116.4378,"River/Stream"
"221",2000-06-19,"BC08NF0001",0.6,0.014,0.084,"mg/L",50.8856,-116.0431,"River/Stream"
"222",2000-06-19,"BC08NK0003",0.9,0.047,0.178,"mg/L",49.1797,-115.167,"River/Stream"
"223",2000-06-20,"AL07DD0001",7.79,0.257,0.124,"mg/L",58.1725,-111.3703,"River/Stream"
"224",2000-06-21,"NW10LA0003",7.4,0.564,0.071,"mg/L",67.4561,-133.7369,"River/Stream"
"225",2000-06-22,"PE01CD0050",2.5,0.0233,0.158,"mg/L",46.4531,-62.3825,"River/Stream"
"226",2000-06-25,"BC08EF0001",2,0.063,0.033,"mg/L",54.6344,-128.4092,"River/Stream"
"227",2000-06-26,"BC08NB0002",1,0.008,0.123,"mg/L",51.3834,-117.4504,"River/Stream"
"228",2000-06-26,"BC08ND0003",0.5,0.006,0.13,"mg/L",51.2138,-117.6958,"River/Stream"
"229",2000-06-26,"NW10TB0002",4.1,0.038,0.021,"mg/L",73.2269,-119.5422,"River/Stream"
"230",2000-06-26,"YT09FB0003",13.2,0.027,0.029,"mg/L",67.58,-139.78,"River/Stream"
"231",2000-06-28,"YT08AA0010",3.2,0.152,0.012,"mg/L",60.7478,-137.5036,"River/Stream"
"232",2000-06-28,"YT10AA0001",1.8,0.033,0.022,"mg/L",60.0477,-128.9018,"River/Stream"
"233",2000-06-29,"NW06MA0001",3.8,0.013,0.051,"mg/L",64.7731,-97.0678,"River/Stream"
"234",2000-06-30,"AL07KC0001",7.3,0.285,0.054,"mg/L",59.1139,-112.4264,"River/Stream"
"235",2000-07-03,"BC08NK0003",0.5,0.017,0.176,"mg/L",49.1797,-115.167,"River/Stream"
"236",2000-07-04,"BC08NF0001",0.5,0.011,0.077,"mg/L",50.8856,-116.0431,"River/Stream"
"237",2000-07-04,"SA05MD0002",20.8,0.121,0.066,"mg/L",51.5331,-101.8889,"River/Stream"
"238",2000-07-05,"BC08NA0033",0.5,0.01,0.126,"mg/L",51.4192,-116.4378,"River/Stream"
"239",2000-07-05,"MA05KH0001",6.3,0.07,0.01,"mg/L",53.8417,-101.3344,"River/Stream"
"240",2000-07-05,"SA05KH0002",18.2,0.077,0.033,"mg/L",53.6,-102.1167,"River/Stream"
"241",2000-07-09,"YT09FB0003",4.3,0.023,0.006,"mg/L",67.58,-139.78,"River/Stream"
"242",2000-07-10,"AL05DA0001",0.407,0.023,0.093,"mg/L",52.0028,-116.4719,"River/Stream"
"243",2000-07-10,"AL07AA0015",0.424,0.02,0.077,"mg/L",52.6644,-117.8808,"River/Stream"
"244",2000-07-10,"AL07AA0023",0.651,0.011,0.06,"mg/L",53.0417,-118.0872,"River/Stream"
"245",2000-07-10,"BC08EF0001",1.4,0.056,0.024,"mg/L",54.6344,-128.4092,"River/Stream"
"246",2000-07-10,"BC08NB0002",0.5,0.024,0.099,"mg/L",51.3834,-117.4504,"River/Stream"
"247",2000-07-10,"BC08ND0003",0.5,0.006,0.096,"mg/L",51.2138,-117.6958,"River/Stream"
