SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
QU02LB9001,2016-05-02 10:00,,0.02,0.01,0.01,8231,µG/L,CADMIUM TOTAL RECOVERABLE,CADMIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.36,0.02,0.02,8230,µG/L,ARSENIC TOTAL RECOVERABLE,ARSENIC RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.04,0.02,0.02,8229,µG/L,ANTIMONY TOTAL RECOVERABLE,ANTIMOINE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,3.1,0.2,0.2,8228,µG/L,ZINC TOTAL RECOVERABLE,ZINC RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,28.2,0.2,0.2,8227,µG/L,MANGANESE TOTAL RECOVERABLE,MANGANÈSE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.7,0.1,0.1,8226,µG/L,LITHIUM TOTAL RECOVERABLE,LITHIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,662,0.5,0.5,8225,µG/L,IRON TOTAL RECOVERABLE,FER RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.43,0.02,0.02,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
QU02LB9001,2016-05-02 10:00,,6.66,0.25,0.25,8258,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.91,0.1,0.1,8250,µG/L,CHLOROPHYLL A,CHLOROPHYLLE A,P
QU02LB9001,2016-05-02 10:00,,0.05,0.02,0.02,8251,MG/L,NITROGEN PARTICULATE ORGANIC,AZOTE ORGANIQUE PARTICULAIRE,P
QU02LB9001,2016-05-02 10:00,,2.41,0.03,0.03,109747,NG/L,MERCURY TOTAL,MERCURE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.02,0.002,0.002,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.008,0.002,0.002,104254,MG/L,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORUS TOTAL DISSOUS,P
QU02LB9001,2016-05-16 10:20,,6.8,0.2,0.2,4755,NTU,TURBIDITY,TURBIDITÉ,P
QU02LB9001,2016-05-16 10:20,,1.55,0.03,0.03,1328,NG/L,MERCURY DISSOLVED,MERCURE DISSOUS,P
QU02LB9001,2016-05-16 10:20,,54.3,1.5,1.5,6207,µG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
QU02LB9001,2016-05-16 10:20,,0.04,0.01,0.01,6208,µG/L,ANTIMONY DISSOLVED,ANTIMOINE DISSOUS,P
QU02LB9001,2016-05-16 10:20,,0.25,0.025,0.025,6209,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
QU02LB9001,2016-05-16 10:20,,10.6,0.07,0.07,6210,µG/L,BARIUM DISSOLVED,BARYUM DISSOUS,P
QU02LB9001,2016-05-16 10:20,,0.015,0.005,0.005,6214,µG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
QU02LB9001,2016-05-16 10:20,,0.235,0.015,0.015,6215,µG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
QU02LB9001,2016-05-16 10:20,,0.005,0.002,0.002,1043,MG/L P,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHATE DISSOUS,P
QU02LB9001,2016-05-16 10:20,,0.51,0.06,0.06,977,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
QU02LB9001,2016-05-16 10:20,,0.113,0.001,0.001,970,MG/L N,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
QU02LB9001,2016-05-16 10:20,,4.64,0.002,0.002,969,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
QU02LB9001,2016-05-16 10:20,,0.023,0.001,0.001,968,MG/L N,NITROGEN DISSOLVED NITRITE,AZOTE DISSOUS NITRITES,P
