"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"MA05PF0022","2002-01-16 11:15","","7.5200","","","10301","PH UNITS","PH","PH","P"
"MA05PF0022","2002-01-16 11:15","","7.7500","","","109026","PH UNITS","PH","PH","P"
"MA05PF0022","2002-01-16 11:15","",".0070","","","15901","MG/L","PHOSPHORUS PARTICULATE (CALCD.)","PHOSPHORE PARTICULAIRE (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","",".0270","","","15423","MG/L","PHOSPHORUS TOTAL","PHOSPHORE TOTAL","P"
"MA05PF0022","2002-01-16 11:15","",".0200","","","15465","MG/L","PHOSPHORUS TOTAL DISSOLVED","PHOSPHORE TOTAL DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".6600","","","103654","NG/L","PICLORAM","PICLORAME","P"
"MA05PF0022","2002-01-16 11:15","",".9200","","","100499","MG/L","POTASSIUM, FILTERED","POTASSIUM, FILTRÉ","P"
"MA05PF0022","2002-01-16 11:15","","1.8000","","","10401","MG/L","RESIDUE NONFILTRABLE","RÉSIDU NON FILTRABLE","P"
"MA05PF0022","2002-01-16 11:15","","-1.6340","","","210","PH","SATURATION INDEX (CALCD.)","INDICE DE SATURATION (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","",".0002","","","100254","MG/L","SELENIUM DISSOLVED","SÉLÉNIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".0001","","","100324","MG/L","SILVER TOTAL","ARGENT TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<","16.4000","","","103661","NG/L","SIMAZINE","SIMAZINE","P"
"MA05PF0022","2002-01-16 11:15","","3.9700","","","14108","MG/L","SIO2","SIO2","P"
"MA05PF0022","2002-01-16 11:15","",".1510","","","11201","REL UNITS","SODIUM ADSORPTION RATIO (CALCD.)","RATIO ADSORPTION SODIUM (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","","9.6800","","","11250","%","SODIUM PERCENTAGE (CALCD.)","POURCENTAGE SODIUM (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","","2.4000","","","100500","MG/L","SODIUM, FILTERED","SODIUM, FILTRÉ","P"
"MA05PF0022","2002-01-16 11:15","","86.6000","","","109027","USIE/CM","SPECIFIC CONDUCTANCE","CONDUCTIVITÉ SPÉCIFIQUE","P"
"MA05PF0022","2002-01-16 11:15","","104.0000","","","2041","USIE/CM","SPECIFIC CONDUCTANCE","CONDUCTIVITÉ SPÉCIFIQUE","P"
"MA05PF0022","2002-01-16 11:15","","11.0190","","","211","PH","STABILITY INDEX (CALCD.)","INDICE DE STABILITÉ (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","",".0310","","","100208","MG/L","STRONTIUM DISSOLVED","STRONTIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0257","","","100229","MG/L","STRONTIUM TOTAL","STRONTIUM TOTAL","P"
